['time', 'x', 'y', 'z']
['1731068644.24', '10762.8567325', '10762.5906871', '0.0']
['1731068644.74', '10763.1183288', '10762.5632199', '0.0']
['1731068645.24', '10762.7344713', '10762.6984856', '0.0']
['1731068645.74', '10763.3832852', '10763.2560752', '0.0']
['1731068646.24', '10763.3471605', '10763.555271', '0.0']
['1731068646.74', '10763.5120362', '10763.2886003', '0.0']
['1731068647.25', '10763.7421211', '10763.8302083', '0.0']
['1731068647.75', '10763.6364882', '10763.4504512', '0.0']
['1731068648.25', '10763.5564968', '10763.6781762', '0.0']
['1731068648.75', '10763.8605889', '10763.7223235', '0.0']
['1731068649.25', '10763.8141469', '10764.0823543', '0.0']
['1731068649.75', '10764.4646018', '10764.5449346', '0.0']
['1731068650.25', '10764.7166933', '10764.2947834', '0.0']
['1731068650.75', '10764.8657468', '10764.9290475', '0.0']
['1731068651.25', '10764.4293346', '10764.5057983', '0.0']
['1731068651.75', '10764.5519615', '10765.0318426', '0.0']
['1731068652.25', '10764.6744668', '10765.11903', '0.0']
['1731068652.75', '10765.5006379', '10765.5057988', '0.0']
['1731068653.25', '10764.9836436', '10765.3750159', '0.0']
['1731068653.75', '10765.470919', '10765.7327209', '0.0']
['1731068654.25', '10765.6014804', '10765.8207022', '0.0']
['1731068654.75', '10766.0942989', '10765.6418861', '0.0']
['1731068655.25', '10766.1620344', '10765.8315969', '0.0']
['1731068655.75', '10766.1382045', '10765.8518185', '0.0']
['1731068656.26', '10766.2561137', '10766.3147909', '0.0']
['1731068656.76', '10766.018577', '10766.4282769', '0.0']
['1731068657.26', '10766.4183802', '10766.7100642', '0.0']
['1731068657.76', '10766.7372084', '10766.3942136', '0.0']
['1731068658.26', '10766.5943218', '10766.5966785', '0.0']
['1731068658.76', '10766.6816142', '10767.3420458', '0.0']
['1731068659.26', '10767.0191013', '10766.9626769', '0.0']
['1731068659.76', '10767.5172594', '10767.3532108', '0.0']
['1731068660.26', '10767.2086994', '10767.4949151', '0.0']
['1731068660.76', '10767.7977589', '10767.7639516', '0.0']
['1731068661.26', '10767.9175373', '10767.3807228', '0.0']
['1731068661.76', '10767.9282718', '10767.580638', '0.0']
['1731068662.26', '10768.1753399', '10768.0407408', '0.0']
['1731068662.76', '10768.0536985', '10767.8515091', '0.0']
['1731068663.26', '10768.2828546', '10768.4645132', '0.0']
['1731068663.76', '10768.5829749', '10768.4599161', '0.0']
['1731068664.26', '10768.8813804', '10768.8502914', '0.0']
['1731068664.76', '10768.6339198', '10768.8419613', '0.0']
['1731068665.26', '10768.845347', '10768.8777451', '0.0']
['1731068665.76', '10768.7961636', '10768.9782012', '0.0']
['1731068666.26', '10768.9998476', '10769.2541209', '0.0']
['1731068666.77', '10769.449209', '10769.11656', '0.0']
['1731068667.27', '10769.7075073', '10769.4794092', '0.0']
['1731068667.77', '10770.0255898', '10769.4083621', '0.0']
['1731068668.27', '10769.780571', '10769.6544174', '0.0']
['1731068668.77', '10770.3085908', '10770.2481238', '0.0']
['1731068669.27', '10769.9376719', '10770.2791641', '0.0']
['1731068669.77', '10770.0594415', '10770.3403899', '0.0']
['1731068670.27', '10770.7283374', '10770.3855584', '0.0']
['1731068670.77', '10770.7181276', '10770.3243063', '0.0']
['1731068671.27', '10770.6623546', '10770.8445162', '0.0']
