Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,C1_X,C1_Y,C1_Z,Distance
1731070829.05,7.68,0.664,0.0,1.87,11416.6740728,11416.3556205,0.0,5794.15,6160.45,0.0,7696.578515211743
1731070829.55,8.32,0.698,0.0,1.72,11417.0108303,11417.0033689,0.0,5794.28,6160.64,0.0,7697.0421498079295
1731070830.05,7.68,0.763,0.0,3.61,11416.6414073,11417.1584736,0.0,5794.41,6160.83,0.0,7696.6534948384315
1731070830.55,8.32,1.159,0.0,3.49,11417.2264571,11417.1895493,0.0,5794.54,6161.02,0.0,7696.87737500373
1731070831.05,7.68,0.813,0.0,1.78,11416.9942703,11417.1303645,0.0,5794.67,6161.21,0.0,7696.442624899522
1731070831.55,8.32,0.745,0.0,3.37,11417.4565627,11417.1419495,0.0,5794.8,6161.4,0.0,7696.563535878036
1731070832.05,7.68,0.749,0.0,1.56,11417.5017666,11417.397817,0.0,5794.93,6161.59,0.0,7696.5465684166265
1731070832.55,8.32,0.732,0.0,2.07,11417.3628241,11417.6983214,0.0,5795.06,6161.78,0.0,7696.425563020214
1731070833.05,7.68,0.875,0.0,1.48,11418.0477717,11417.8088253,0.0,5795.19,6161.97,0.0,7696.776681072277
1731070833.55,8.32,1.06,0.0,1.52,11417.6339129,11418.3196862,0.0,5795.32,6162.16,0.0,7696.598494271545
1731070834.05,7.68,0.944,0.0,2.46,11417.9645863,11417.7564623,0.0,5795.45,6162.35,0.0,7696.230724006451
1731070834.55,8.32,0.718,0.0,1.7,11418.3434906,11418.6074401,0.0,5795.58,6162.54,0.0,7696.863920201765
1731070835.05,7.68,0.35,0.0,1.56,11418.6429941,11418.763029,0.0,5795.71,6162.73,0.0,7696.964249499754
1731070835.55,8.32,0.773,0.0,8.29,11418.8622825,11418.8391814,0.0,5795.84,6162.92,0.0,7696.951736297945
1731070836.05,7.68,0.729,0.0,2.22,11418.4619942,11418.9107305,0.0,5795.97,6163.11,0.0,7696.483453082156
1731070836.55,8.32,0.8,0.0,2.2,11418.7826261,11418.9157271,0.0,5796.1,6163.3,0.0,7696.496383731213
1731070837.05,7.68,0.844,0.0,1.91,11419.1315735,11418.9660943,0.0,5796.23,6163.49,0.0,7696.560990665089
1731070837.55,8.32,0.452,0.0,1.55,11419.2816011,11419.2185179,0.0,5796.36,6163.68,0.0,7696.618247337431
1731070838.05,7.68,1.057,0.0,2.63,11419.2531131,11419.1662055,0.0,5796.49,6163.87,0.0,7696.337001040215
1731070838.55,7.69,0.56,0.0,1.57,11419.2149139,11419.4964266,0.0,5796.62,6164.06,0.0,7696.309869011793
1731070839.05,8.32,0.952,0.0,1.86,11419.5819414,11419.5484978,0.0,5796.75,6164.25,0.0,7696.388850766769
1731070839.55,8.32,0.766,0.0,2.45,11420.0003124,11419.8488306,0.0,5796.88,6164.44,0.0,7696.674868050094
1731070840.05,7.68,0.4,0.0,6.99,11419.9907469,11420.1186124,0.0,5797.01,6164.63,0.0,7696.627380552742
1731070840.55,8.32,1.109,0.0,2.14,11419.8785065,11420.4359503,0.0,5797.14,6164.82,0.0,7696.537359717395
1731070841.05,7.68,0.608,0.0,1.82,11420.0399484,11420.0090035,0.0,5797.27,6165.01,0.0,7696.1390592566695
1731070841.55,8.32,1.033,0.0,1.45,11420.2596189,11420.2538903,0.0,5797.4,6165.2,0.0,7696.242049455917
1731070842.05,7.68,1.028,0.0,3.09,11420.5399754,11420.427913,0.0,5797.53,6165.39,0.0,7696.340991049921
1731070842.55,7.04,0.686,0.083,1.94,11420.5412511,11420.7348646,0.0,5797.66,6165.58,0.0,7696.32680016259
1731070843.05,8.32,1.625,0.0,2.01,11420.8420412,11420.8776443,0.0,5797.79,6165.77,0.0,7696.419337017947
1731070843.55,8.32,0.824,0.0,1.79,11420.7320946,11420.6796465,0.0,5797.92,6165.96,0.0,7695.979106942347
1731070844.05,7.68,1.324,0.0,1.4,11420.8201454,11421.1680624,0.0,5798.05,6166.15,0.0,7696.152216799755
1731070844.55,8.32,0.644,0.0,4.68,11421.5618609,11421.1894465,0.0,5798.18,6166.34,0.0,7696.48401927013
1731070845.05,7.68,0.503,0.0,1.65,11421.0913234,11421.6218592,0.0,5798.31,6166.53,0.0,7696.210772802807
1731070845.55,8.32,1.028,0.0,1.57,11421.7185871,11421.6452669,0.0,5798.44,6166.72,0.0,7696.460331141933
1731070846.05,7.68,0.531,0.0,2.89,11421.8392482,11421.5495947,0.0,5798.57,6166.91,0.0,7696.25846161242
1731070846.55,8.32,1.277,0.0,1.77,11422.074083,11421.500633,0.0,5798.7,6167.1,0.0,7696.171911374309
1731070847.05,7.68,0.618,0.0,1.7,11422.2847477,11421.8638566,0.0,5798.83,6167.29,0.0,7696.349115905143
1731070847.55,8.31,0.509,0.0,3.27,11422.5328968,11421.9616642,0.0,5798.96,6167.48,0.0,7696.372501707381
1731070848.05,7.68,0.573,0.0,2.13,11422.0931089,11421.9704722,0.0,5799.09,6167.67,0.0,7695.83247055575
1731070848.55,8.32,0.773,0.0,1.81,11422.2247633,11422.1406824,0.0,5799.22,6167.86,0.0,7695.820167957169
1731070849.05,7.68,1.397,0.0,2.4,11422.5548513,11422.3532713,0.0,5799.35,6168.05,0.0,7695.981787041711
1731070849.55,8.32,0.641,0.0,8.23,11423.1492099,11422.6835283,0.0,5799.48,6168.24,0.0,7696.416839963325
1731070850.05,7.68,0.556,0.0,2.53,11422.7363167,11422.6791547,0.0,5799.61,6168.43,0.0,7695.887457157217
1731070850.55,8.32,0.569,0.0,1.71,11422.7708557,11423.2201505,0.0,5799.74,6168.62,0.0,7696.057350734134
