Time,Bitrate,Jitter,Datagrams,Delay,S1_X,S1_Y,S1_Z,F2_X,F2_Y,F2_Z,Distance
1731071823.23,19.8,0.744,0.031,2.19,11714.5405274,11714.5951577,0.0,7309.0,10713.5,0.0,4517.8511322678905
1731071823.73,19.8,0.911,0.0,2.03,11714.4781053,11714.7159293,0.0,7309.1,10713.65,0.0,4517.6862712523425
1731071824.23,19.8,0.93,0.0,1.63,11714.5264818,11714.4018378,0.0,7309.2,10713.8,0.0,4517.533115435581
1731071824.73,19.8,0.838,0.0,2.1,11714.5920454,11714.7326028,0.0,7309.3,10713.95,0.0,4517.539576288365
1731071825.23,20.5,0.807,0.0,2.14,11715.315759,11714.7915979,0.0,7309.4,10714.1,0.0,4518.127637585308
1731071825.73,19.8,0.799,0.0,1.84,11714.8827558,11715.4172604,0.0,7309.5,10714.25,0.0,4517.713260975826
1731071826.23,19.8,0.94,0.0,2.14,11715.0509432,11715.1316992,0.0,7309.6,10714.4,0.0,4517.683249933032
1731071826.73,19.8,1.07,0.0,1.73,11715.4675097,11715.7799859,0.0,7309.7,10714.55,0.0,4518.102348795726
1731071827.23,20.4,1.067,0.0,1.71,11715.2527949,11715.8895021,0.0,7309.8,10714.7,0.0,4517.78648756307
1731071827.73,19.9,0.906,0.0,2.08,11715.8116352,11715.3816298,0.0,7309.9,10714.85,0.0,4518.088188539594
1731071828.23,19.8,1.293,0.0,1.87,11716.005029,11715.7572473,0.0,7310.0,10715.0,0.0,4518.2292309705535
1731071828.73,19.8,1.102,0.0,1.99,11715.9433398,11715.7461396,0.0,7310.1,10715.15,0.0,4518.035875183202
1731071829.23,20.5,1.027,0.0,1.77,11716.2208912,11715.9529244,0.0,7310.2,10715.3,0.0,4518.22159359201
1731071829.73,19.2,0.436,0.0,2.35,11716.4156539,11716.2234357,0.0,7310.3,10715.45,0.0,4518.340693788528
1731071830.23,19.8,0.662,0.031,8.2,11716.8408163,11716.259524,0.0,7310.4,10715.6,0.0,4518.632553165451
1731071830.73,19.8,0.545,0.0,1.64,11716.7806788,11716.7224358,0.0,7310.5,10715.75,0.0,4518.545699403468
1731071831.23,20.5,0.463,0.0,2.24,11716.829903,11716.4375182,0.0,7310.6,10715.9,0.0,4518.399858735082
1731071831.73,19.9,0.78,0.0,2.51,11717.2611689,11717.2191689,0.0,7310.7,10716.05,0.0,4518.862803849355
1731071832.23,19.8,0.585,0.0,1.85,11717.0460266,11716.9620745,0.0,7310.8,10716.2,0.0,4518.465312103858
1731071832.73,19.8,0.689,0.0,1.75,11716.9720519,11717.51236,0.0,7310.9,10716.35,0.0,4518.384334871819
1731071833.23,20.5,0.691,0.0,1.88,11717.6215363,11717.5267683,0.0,7311.0,10716.5,0.0,4518.8901242491065
1731071833.73,19.8,0.468,0.0,1.98,11717.477816,11717.776342,0.0,7311.1,10716.65,0.0,4518.6745191464315
1731071834.23,19.9,0.723,0.0,1.86,11717.6237095,11717.6224611,0.0,7311.2,10716.8,0.0,4518.651956755023
1731071834.73,19.8,0.998,0.0,8.67,11717.7054547,11717.9280876,0.0,7311.3,10716.95,0.0,4518.668627269018
1731071835.23,20.5,0.773,0.0,2.76,11718.0704473,11718.3157354,0.0,7311.4,10717.1,0.0,4518.979683503761
1731071835.73,19.8,0.571,0.0,2.19,11718.2148184,11718.0568242,0.0,7311.5,10717.25,0.0,4518.932372814561
1731071836.23,19.8,0.608,0.0,1.57,11718.5310426,11717.902563,0.0,7311.6,10717.4,0.0,4519.075856057418
1731071836.73,19.9,0.723,0.0,1.7,11718.6693219,11718.3217422,0.0,7311.7,10717.55,0.0,4519.172787596617
1731071837.23,20.5,0.638,0.0,2.13,11718.5492141,11718.9231194,0.0,7311.8,10717.7,0.0,4519.058128724616
1731071837.73,19.8,0.667,0.0,2.07,11718.4638075,11718.3681982,0.0,7311.9,10717.85,0.0,4518.721196809809
1731071838.23,19.9,0.65,0.0,2.33,11718.7851552,11718.8283487,0.0,7312.0,10718.0,0.0,4519.005729986703
1731071838.73,19.8,1.001,0.0,1.53,11719.2738138,11718.7829885,0.0,7312.1,10718.15,0.0,4519.341478879293
1731071839.23,20.5,0.799,0.0,2.82,11719.0787632,11719.4799306,0.0,7312.2,10718.3,0.0,4519.174890063382
1731071839.73,19.8,0.885,0.0,8.34,11719.6706357,11719.0067107,0.0,7312.3,10718.45,0.0,4519.516528541236
1731071840.23,19.8,0.853,0.0,1.56,11719.4257652,11719.518247,0.0,7312.4,10718.6,0.0,4519.260274902763
1731071840.73,19.8,0.832,0.0,1.91,11719.6359071,11719.3535845,0.0,7312.5,10718.75,0.0,4519.298002673026
1731071841.23,20.5,1.211,0.0,2.85,11719.9761633,11719.7211352,0.0,7312.6,10718.9,0.0,4519.580466092848
1731071841.73,19.8,0.903,0.0,1.97,11719.996584,11719.8394722,0.0,7312.7,10719.05,0.0,4519.495850977676
1731071842.23,19.8,0.773,0.0,2.01,11720.2097861,11720.4046151,0.0,7312.8,10719.2,0.0,4519.698187258479
1731071842.73,19.8,0.753,0.0,2.03,11719.875969,11720.0010853,0.0,7312.9,10719.35,0.0,4519.152551735288
1731071843.23,20.5,0.617,0.0,1.68,11720.0114484,11720.2834551,0.0,7313.0,10719.5,0.0,4519.216461991013
1731071843.73,19.9,0.825,0.0,1.64,11720.8568626,11720.3109047,0.0,7313.1,10719.65,0.0,4519.916238824831
1731071844.23,19.8,0.874,0.0,8.98,11720.4655616,11720.7153508,0.0,7313.2,10719.8,0.0,4519.4934749297345
1731071844.73,19.8,0.944,0.0,1.66,11721.1555644,11720.8121099,0.0,7313.3,10719.95,0.0,4520.057039423897
1731071845.23,20.5,0.749,0.0,2.15,11721.3056158,11721.3457645,0.0,7313.4,10720.1,0.0,4520.190814415954
1731071845.73,19.8,1.237,0.0,2.64,11721.2401898,11721.3883215,0.0,7313.5,10720.25,0.0,4520.005699062113
1731071846.23,19.9,0.988,0.0,3.21,11721.4752917,11721.2017214,0.0,7313.6,10720.4,0.0,4520.062905838432
1731071846.73,19.8,0.95,0.0,1.69,11721.1713263,11721.7149811,0.0,7313.7,10720.55,0.0,4519.749419109166
1731071847.23,20.5,0.796,0.0,2.17,11721.705794,11721.8439914,0.0,7313.8,10720.7,0.0,4520.168446008963
1731071847.73,19.8,0.947,0.0,2.7,11721.7475448,11721.9082916,0.0,7313.9,10720.85,0.0,4520.0926629197
1731071848.23,19.9,0.919,0.0,1.56,11721.8878664,11721.7141444,0.0,7314.0,10721.0,0.0,4520.055778589306
1731071848.73,19.8,1.063,0.0,4.46,11721.7490733,11722.1535296,0.0,7314.1,10721.15,0.0,4519.886991909643
1731071849.23,20.5,1.132,0.0,2.83,11722.4012416,11721.8389594,0.0,7314.2,10721.3,0.0,4520.322598633976
