Time,S1_X,S1_Y,S1_Z
1731070130.97,11207.6032343,11207.3605588,0.0
1731070131.47,11207.6860986,11207.8966405,0.0
1731070131.97,11208.2060073,11207.8225652,0.0
1731070132.47,11208.0213304,11208.431736,0.0
1731070132.97,11207.9207438,11208.6061624,0.0
1731070133.47,11208.6904992,11208.2170952,0.0
1731070133.97,11208.6011671,11208.386129,0.0
1731070134.47,11208.550493,11208.7166847,0.0
1731070134.98,11209.2188956,11208.5669134,0.0
1731070135.48,11208.8294902,11209.396162,0.0
1731070135.98,11209.3482991,11208.9703295,0.0
1731070136.48,11209.1959565,11209.2640201,0.0
1731070136.98,11209.5517417,11209.1912259,0.0
1731070137.48,11209.594782,11209.7231455,0.0
1731070137.98,11210.0478901,11209.8706472,0.0
1731070138.48,11209.9629058,11209.8226411,0.0
1731070138.98,11210.3132602,11209.8473144,0.0
1731070139.48,11209.9084212,11210.5650239,0.0
1731070139.98,11210.6212339,11210.0745965,0.0
1731070140.48,11210.8032475,11210.2236733,0.0
1731070140.98,11210.7767147,11210.341463,0.0
1731070141.48,11210.4711416,11210.9130795,0.0
1731070141.98,11210.9569133,11211.2802192,0.0
1731070142.48,11211.0654775,11210.8807072,0.0
1731070142.98,11211.497763,11211.4894269,0.0
1731070143.48,11211.4055477,11211.3978037,0.0
1731070143.98,11211.2894434,11211.2642853,0.0
1731070144.48,11211.6982064,11212.0631801,0.0
1731070144.99,11211.7010257,11211.5763379,0.0
1731070145.48,11212.3742145,11211.9121546,0.0
1731070145.99,11212.5354687,11212.1128236,0.0
1731070146.49,11212.4503386,11212.038955,0.0
1731070146.99,11212.36212,11212.2782905,0.0
1731070147.49,11212.4101739,11212.5709181,0.0
1731070147.99,11212.4338265,11212.5357452,0.0
1731070148.49,11212.5683127,11212.5930457,0.0
1731070148.99,11212.9510793,11213.236631,0.0
1731070149.49,11213.5451668,11213.1041317,0.0
1731070149.99,11213.4347195,11213.1219583,0.0
1731070150.49,11213.2099053,11213.356439,0.0
1731070150.99,11213.7830602,11213.9093305,0.0
1731070151.49,11214.1540394,11213.64356,0.0
1731070151.99,11214.2437867,11213.8912786,0.0
1731070152.49,11214.3905525,11214.1050514,0.0
1731070152.99,11214.5956631,11214.0699141,0.0
1731070153.49,11214.2890914,11214.4643893,0.0
1731070153.99,11214.9165495,11214.5438652,0.0
1731070154.49,11215.0878866,11214.6263203,0.0
1731070155.0,11214.6061927,11214.6282575,0.0
1731070155.5,11214.7626438,11214.7386,0.0
1731070156.0,11215.1869312,11215.3554852,0.0
1731070156.5,11215.490236,11215.2515476,0.0
1731070157.0,11215.1580453,11215.1290879,0.0
1731070157.5,11215.9908609,11215.9685222,0.0
1731070158.0,11215.4407785,11215.9445681,0.0
1731070158.5,11216.1493911,11216.1806223,0.0
1731070159.0,11216.3050208,11216.0989336,0.0
1731070159.5,11216.421556,11216.0328398,0.0
1731070160.0,11216.3082945,11216.0342365,0.0
1731070160.5,11216.3030722,11216.4281333,0.0
1731070161.0,11216.7600927,11216.3353612,0.0
1731070161.5,11217.0730269,11216.80933,0.0
1731070162.0,11216.6715807,11217.2339267,0.0
1731070162.5,11217.1831838,11216.9307907,0.0
1731070163.0,11217.6073728,11217.5037671,0.0
1731070163.5,11217.2625234,11217.0699381,0.0
1731070164.01,11217.3766673,11217.2128929,0.0
1731070164.5,11218.0585368,11217.3982424,0.0
1731070165.01,11218.103524,11217.8657653,0.0
1731070165.51,11218.0301713,11217.6905456,0.0
1731070166.01,11218.5233667,11218.0106467,0.0
1731070166.51,11218.2523511,11217.9924052,0.0
1731070167.01,11218.4777322,11218.1495091,0.0
1731070167.51,11218.6875878,11218.9544625,0.0
1731070168.01,11218.6150564,11218.7927575,0.0
1731070168.51,11219.1966179,11218.9267745,0.0
1731070169.01,11218.9538144,11219.0126884,0.0
1731070169.51,11218.974045,11218.8512251,0.0
1731070170.01,11219.4154686,11219.5336679,0.0
1731070170.51,11219.5872061,11219.8453246,0.0
1731070171.01,11219.3648062,11219.6114778,0.0
1731070171.51,11219.7417643,11219.7889717,0.0
1731070172.01,11219.7258481,11220.2616721,0.0
1731070172.51,11220.291738,11220.438007,0.0
1731070173.02,11220.499536,11220.1999018,0.0
1731070173.52,11220.4637675,11220.5042388,0.0
1731070174.01,11220.9220901,11220.2704338,0.0
1731070174.52,11220.5840144,11220.9854032,0.0
1731070175.02,11220.7186422,11221.2153486,0.0
1731070175.52,11221.1099866,11221.3099815,0.0
1731070176.02,11221.3723008,11220.9472545,0.0
1731070176.52,11221.0155642,11221.456453,0.0
1731070177.02,11221.1897387,11221.4176345,0.0
1731070177.52,11221.4895011,11221.9257488,0.0
1731070178.02,11221.5203772,11222.0671449,0.0
1731070178.52,11222.0809797,11221.8046689,0.0
1731070179.02,11221.8666019,11221.8090662,0.0
1731070179.52,11222.5731915,11222.2459865,0.0
1731070180.02,11222.1368596,11222.6822337,0.0
1731070180.52,11222.5953004,11222.3191859,0.0
1731070181.02,11222.5776246,11222.9229693,0.0
1731070181.52,11222.8828535,11223.1947577,0.0
1731070182.02,11222.7547195,11223.1999479,0.0
1731070182.52,11223.384325,11223.4972859,0.0
1731070183.02,11223.5468491,11223.0291225,0.0
1731070183.52,11223.4837075,11223.6306781,0.0
1731070184.02,11223.4916197,11223.6731206,0.0
1731070184.52,11223.6947747,11223.5021769,0.0
1731070185.03,11223.6974064,11223.5543556,0.0
1731070185.53,11224.0496552,11223.8407918,0.0
1731070186.03,11224.5194339,11223.9621121,0.0
1731070186.53,11224.4768722,11224.0638944,0.0
1731070187.03,11224.1225008,11224.1731708,0.0
1731070187.53,11224.6416506,11224.8276366,0.0
1731070188.03,11224.7710354,11224.5382378,0.0
1731070188.53,11224.6341187,11224.8131765,0.0
1731070189.03,11224.7225314,11224.9581604,0.0
1731070189.53,11224.8560723,11225.2724127,0.0
1731070190.03,11225.6652184,11225.161403,0.0
1731070190.53,11225.833056,11225.383513,0.0
1731070191.03,11225.8821832,11225.9458473,0.0
1731070191.53,11225.8622837,11225.5650163,0.0
1731070192.03,11225.7299034,11226.2453436,0.0
1731070192.53,11226.0011948,11226.1607409,0.0
1731070193.03,11226.0110182,11226.6468077,0.0
1731070193.53,11226.3513166,11226.1771631,0.0
1731070194.03,11226.5131487,11226.6573839,0.0
1731070194.54,11226.9550791,11226.656374,0.0
1731070195.04,11226.5544105,11227.1126081,0.0
1731070195.54,11227.155543,11227.3279516,0.0
1731070196.04,11227.3367558,11227.4704372,0.0
1731070196.54,11227.337215,11227.0271114,0.0
1731070197.04,11227.7173382,11227.3171611,0.0
1731070197.54,11227.4994726,11227.8701977,0.0
1731070198.04,11227.8033442,11227.5016446,0.0
1731070198.54,11227.6463909,11227.6058373,0.0
1731070199.04,11228.3380626,11227.7519604,0.0
1731070199.54,11228.0418343,11227.8746936,0.0
1731070200.04,11228.7333292,11228.0534476,0.0
1731070200.54,11228.2442586,11228.2634828,0.0
1731070201.04,11228.5261856,11228.8059703,0.0
1731070201.54,11229.1308554,11228.5037236,0.0
1731070202.04,11228.9825796,11229.3338846,0.0
1731070202.54,11229.1649835,11229.1377785,0.0
1731070203.04,11229.5697544,11229.4544928,0.0
1731070203.54,11229.6715272,11229.3100475,0.0
1731070204.04,11229.749946,11229.8806622,0.0
1731070204.54,11229.6249743,11230.0705687,0.0
1731070205.05,11229.9017032,11230.1663074,0.0
1731070205.55,11230.2353472,11230.1202846,0.0
1731070206.05,11229.9725009,11230.1319387,0.0
1731070206.55,11230.5548308,11230.509844,0.0
1731070207.05,11230.4946305,11230.3266976,0.0
1731070207.55,11230.9690028,11230.5696123,0.0
1731070208.05,11230.4049019,11230.7873009,0.0
1731070208.55,11230.5862616,11230.57383,0.0
1731070209.05,11231.0015066,11231.3425584,0.0
1731070209.55,11231.5192874,11231.564025,0.0
1731070210.05,11231.5825481,11231.0212543,0.0
1731070210.55,11231.8799589,11231.1791458,0.0
1731070211.05,11231.4932419,11231.4976298,0.0
1731070211.55,11231.7501478,11231.8092433,0.0
1731070212.05,11231.916332,11232.3294192,0.0
1731070212.55,11232.1596597,11232.2868748,0.0
1731070213.05,11232.432286,11232.0412036,0.0
1731070213.55,11232.1925372,11232.4298623,0.0
1731070214.05,11232.9080763,11232.4115155,0.0
1731070214.55,11232.6343907,11232.752625,0.0
1731070215.05,11233.2498952,11232.9593541,0.0
1731070215.55,11232.7756627,11232.9491844,0.0
1731070216.05,11233.0229346,11233.4126802,0.0
1731070216.56,11233.1074634,11233.1131713,0.0
1731070217.05,11233.8006344,11233.6333484,0.0
1731070217.56,11233.5318198,11233.512822,0.0
1731070218.06,11234.0102112,11233.6596299,0.0
1731070218.56,11234.2624556,11233.9833747,0.0
1731070219.06,11234.3378391,11233.8085449,0.0
1731070219.56,11234.321098,11234.5988127,0.0
1731070220.06,11234.3024629,11234.4114092,0.0
1731070220.56,11234.6444813,11234.3101279,0.0
1731070221.06,11234.4768123,11234.3750922,0.0
1731070221.56,11234.8671846,11234.6346794,0.0
1731070222.06,11234.607261,11235.0908816,0.0
1731070222.56,11234.8304404,11235.2819662,0.0
1731070223.06,11235.2923604,11234.9866117,0.0
1731070223.56,11235.5918253,11235.748626,0.0
1731070224.06,11235.5893093,11235.8887366,0.0
1731070224.56,11235.4635367,11235.885307,0.0
1731070225.06,11235.8523118,11235.6898091,0.0
1731070225.56,11235.8749595,11236.1549594,0.0
1731070226.06,11235.8771384,11236.2576272,0.0
1731070226.56,11236.0334136,11236.3004468,0.0
1731070227.07,11236.2276717,11236.2144062,0.0
1731070227.57,11236.51162,11236.4331299,0.0
1731070228.07,11236.4982738,11236.9264703,0.0
1731070228.57,11236.8944923,11236.5530987,0.0
1731070229.07,11237.0180239,11237.4146554,0.0
1731070229.57,11237.4701669,11237.5114621,0.0
1731070230.07,11237.5293287,11237.3834372,0.0
1731070230.57,11237.8320099,11237.6550916,0.0
1731070231.07,11237.8831531,11237.5065933,0.0
1731070231.57,11238.000835,11237.6790102,0.0
1731070232.07,11237.7095817,11238.2685344,0.0
1731070232.57,11237.7654671,11238.2702745,0.0
1731070233.07,11238.4188017,11237.9174022,0.0
1731070233.57,11238.5490188,11238.3623571,0.0
1731070234.07,11238.4604522,11238.7132488,0.0
1731070234.57,11238.8934786,11238.897816,0.0
1731070235.07,11239.1720174,11239.1230776,0.0
1731070235.57,11239.1336978,11239.0657299,0.0
1731070236.07,11239.1065855,11239.0365559,0.0
