['time', 'x', 'y', 'z']
['1731067864.97', '5024.94', '5036.22', '0.0']
['1731067865.47', '5025.07', '5036.41', '0.0']
['1731067865.97', '5025.2', '5036.6', '0.0']
['1731067866.47', '5025.33', '5036.79', '0.0']
['1731067866.97', '5025.46', '5036.98', '0.0']
['1731067867.47', '5025.59', '5037.17', '0.0']
['1731067867.97', '5025.72', '5037.36', '0.0']
['1731067868.47', '5025.85', '5037.55', '0.0']
['1731067868.97', '5025.98', '5037.74', '0.0']
['1731067869.47', '5026.11', '5037.93', '0.0']
['1731067869.98', '5026.24', '5038.12', '0.0']
['1731067870.47', '5026.37', '5038.31', '0.0']
['1731067870.98', '5026.5', '5038.5', '0.0']
['1731067871.48', '5026.63', '5038.69', '0.0']
['1731067871.98', '5026.76', '5038.88', '0.0']
['1731067872.48', '5026.89', '5039.07', '0.0']
['1731067872.98', '5027.02', '5039.26', '0.0']
['1731067873.48', '5027.15', '5039.45', '0.0']
['1731067873.98', '5027.28', '5039.64', '0.0']
['1731067874.48', '5027.41', '5039.83', '0.0']
['1731067874.98', '5027.54', '5040.02', '0.0']
['1731067875.48', '5027.67', '5040.21', '0.0']
['1731067875.98', '5027.8', '5040.4', '0.0']
['1731067876.48', '5027.93', '5040.59', '0.0']
['1731067876.98', '5028.06', '5040.78', '0.0']
['1731067877.48', '5028.19', '5040.97', '0.0']
['1731067877.98', '5028.32', '5041.16', '0.0']
['1731067878.48', '5028.45', '5041.35', '0.0']
['1731067878.98', '5028.58', '5041.54', '0.0']
['1731067879.48', '5028.71', '5041.73', '0.0']
['1731067879.98', '5028.84', '5041.92', '0.0']
['1731067880.49', '5028.97', '5042.11', '0.0']
['1731067880.99', '5029.1', '5042.3', '0.0']
['1731067881.49', '5029.23', '5042.49', '0.0']
['1731067881.99', '5029.36', '5042.68', '0.0']
['1731067882.49', '5029.49', '5042.87', '0.0']
['1731067882.99', '5029.62', '5043.06', '0.0']
['1731067883.49', '5029.75', '5043.25', '0.0']
['1731067883.99', '5029.88', '5043.44', '0.0']
['1731067884.49', '5030.01', '5043.63', '0.0']
['1731067884.99', '5030.14', '5043.82', '0.0']
['1731067885.49', '5030.27', '5044.01', '0.0']
['1731067885.99', '5030.4', '5044.2', '0.0']
['1731067886.49', '5030.53', '5044.39', '0.0']
['1731067886.99', '5030.66', '5044.58', '0.0']
['1731067887.49', '5030.79', '5044.77', '0.0']
['1731067888.0', '5030.92', '5044.96', '0.0']
['1731067888.5', '5031.05', '5045.15', '0.0']
['1731067889.0', '5031.18', '5045.34', '0.0']
['1731067889.5', '5031.31', '5045.53', '0.0']
['1731067890.0', '5031.44', '5045.72', '0.0']
['1731067890.5', '5031.57', '5045.91', '0.0']
['1731067891.0', '5031.7', '5046.1', '0.0']
['1731067891.5', '5031.83', '5046.29', '0.0']
['1731067892.0', '5031.96', '5046.48', '0.0']
['1731067892.5', '5032.09', '5046.67', '0.0']
['1731067893.0', '5032.22', '5046.86', '0.0']
['1731067893.5', '5032.35', '5047.05', '0.0']
['1731067894.0', '5032.48', '5047.24', '0.0']
['1731067894.5', '5032.61', '5047.43', '0.0']
['1731067895.0', '5032.74', '5047.62', '0.0']
['1731067895.5', '5032.87', '5047.81', '0.0']
['1731067896.0', '5033.0', '5048.0', '0.0']
['1731067896.5', '5033.13', '5048.19', '0.0']
['1731067897.0', '5033.26', '5048.38', '0.0']
['1731067897.5', '5033.39', '5048.57', '0.0']
['1731067898.0', '5033.52', '5048.76', '0.0']
['1731067898.5', '5033.65', '5048.95', '0.0']
['1731067899.0', '5033.78', '5049.14', '0.0']
['1731067899.51', '5033.91', '5049.33', '0.0']
['1731067900.01', '5034.04', '5049.52', '0.0']
['1731067900.51', '5034.17', '5049.71', '0.0']
['1731067901.01', '5034.3', '5049.9', '0.0']
['1731067901.51', '5034.43', '5050.09', '0.0']
['1731067902.01', '5034.56', '5050.28', '0.0']
['1731067902.51', '5034.69', '5050.47', '0.0']
['1731067903.01', '5034.82', '5050.66', '0.0']
['1731067903.51', '5034.95', '5050.85', '0.0']
['1731067904.01', '5035.08', '5051.04', '0.0']
['1731067904.52', '5035.21', '5051.23', '0.0']
['1731067905.01', '5035.34', '5051.42', '0.0']
['1731067905.51', '5035.47', '5051.61', '0.0']
['1731067906.01', '5035.6', '5051.8', '0.0']
['1731067906.51', '5035.73', '5051.99', '0.0']
['1731067907.01', '5035.86', '5052.18', '0.0']
['1731067907.51', '5035.99', '5052.37', '0.0']
['1731067908.01', '5036.12', '5052.56', '0.0']
['1731067908.51', '5036.25', '5052.75', '0.0']
['1731067909.02', '5036.38', '5052.94', '0.0']
['1731067909.52', '5036.51', '5053.13', '0.0']
['1731067910.02', '5036.64', '5053.32', '0.0']
['1731067910.52', '5036.77', '5053.51', '0.0']
['1731067911.02', '5036.9', '5053.7', '0.0']
['1731067911.52', '5037.03', '5053.89', '0.0']
['1731067912.02', '5037.16', '5054.08', '0.0']
['1731067912.52', '5037.29', '5054.27', '0.0']
['1731067913.02', '5037.42', '5054.46', '0.0']
['1731067913.52', '5037.55', '5054.65', '0.0']
['1731067914.02', '5037.68', '5054.84', '0.0']
['1731067914.52', '5037.81', '5055.03', '0.0']
['1731067915.02', '5037.94', '5055.22', '0.0']
['1731067915.52', '5038.07', '5055.41', '0.0']
['1731067916.02', '5038.2', '5055.6', '0.0']
['1731067916.52', '5038.33', '5055.79', '0.0']
['1731067917.02', '5038.46', '5055.98', '0.0']
['1731067917.53', '5038.59', '5056.17', '0.0']
['1731067918.03', '5038.72', '5056.36', '0.0']
['1731067918.53', '5038.85', '5056.55', '0.0']
['1731067919.03', '5038.98', '5056.74', '0.0']
['1731067919.53', '5039.11', '5056.93', '0.0']
['1731067920.03', '5039.24', '5057.12', '0.0']
['1731067920.53', '5039.37', '5057.31', '0.0']
['1731067921.03', '5039.5', '5057.5', '0.0']
['1731067921.53', '5039.63', '5057.69', '0.0']
['1731067922.03', '5039.76', '5057.88', '0.0']
['1731067922.53', '5039.89', '5058.07', '0.0']
['1731067923.03', '5040.02', '5058.26', '0.0']
['1731067923.53', '5040.15', '5058.45', '0.0']
['1731067924.03', '5040.28', '5058.64', '0.0']
['1731067924.53', '5040.41', '5058.83', '0.0']
['1731067925.03', '5040.54', '5059.02', '0.0']
['1731067925.53', '5040.67', '5059.21', '0.0']
['1731067926.03', '5040.8', '5059.4', '0.0']
['1731067926.53', '5040.93', '5059.59', '0.0']
['1731067927.03', '5041.06', '5059.78', '0.0']
['1731067927.54', '5041.19', '5059.97', '0.0']
['1731067928.04', '5041.32', '5060.16', '0.0']
['1731067928.54', '5041.45', '5060.35', '0.0']
['1731067929.04', '5041.58', '5060.54', '0.0']
['1731067929.54', '5041.71', '5060.73', '0.0']
['1731067930.04', '5041.84', '5060.92', '0.0']
['1731067930.54', '5041.97', '5061.11', '0.0']
['1731067931.04', '5042.1', '5061.3', '0.0']
['1731067931.54', '5042.23', '5061.49', '0.0']
['1731067932.04', '5042.36', '5061.68', '0.0']
['1731067932.54', '5042.49', '5061.87', '0.0']
['1731067933.04', '5042.62', '5062.06', '0.0']
['1731067933.54', '5042.75', '5062.25', '0.0']
['1731067934.04', '5042.88', '5062.44', '0.0']
['1731067934.54', '5043.01', '5062.63', '0.0']
['1731067935.04', '5043.14', '5062.82', '0.0']
['1731067935.54', '5043.27', '5063.01', '0.0']
['1731067936.04', '5043.4', '5063.2', '0.0']
['1731067936.54', '5043.53', '5063.39', '0.0']
['1731067937.04', '5043.66', '5063.58', '0.0']
['1731067937.55', '5043.79', '5063.77', '0.0']
['1731067938.05', '5043.92', '5063.96', '0.0']
['1731067938.55', '5044.05', '5064.15', '0.0']
['1731067939.05', '5044.18', '5064.34', '0.0']
['1731067939.55', '5044.31', '5064.53', '0.0']
['1731067940.05', '5044.44', '5064.72', '0.0']
['1731067940.55', '5044.57', '5064.91', '0.0']
['1731067941.05', '5044.7', '5065.1', '0.0']
['1731067941.55', '5044.83', '5065.29', '0.0']
['1731067942.05', '5044.96', '5065.48', '0.0']
['1731067942.55', '5045.09', '5065.67', '0.0']
['1731067943.05', '5045.22', '5065.86', '0.0']
['1731067943.55', '5045.35', '5066.05', '0.0']
['1731067944.05', '5045.48', '5066.24', '0.0']
['1731067944.55', '5045.61', '5066.43', '0.0']
['1731067945.05', '5045.74', '5066.62', '0.0']
['1731067945.56', '5045.87', '5066.81', '0.0']
['1731067946.06', '5046.0', '5067.0', '0.0']
['1731067946.56', '5046.13', '5067.19', '0.0']
['1731067947.06', '5046.26', '5067.38', '0.0']
['1731067947.56', '5046.39', '5067.57', '0.0']
['1731067948.06', '5046.52', '5067.76', '0.0']
['1731067948.56', '5046.65', '5067.95', '0.0']
['1731067949.06', '5046.78', '5068.14', '0.0']
['1731067949.56', '5046.91', '5068.33', '0.0']
['1731067950.06', '5047.04', '5068.52', '0.0']
['1731067950.56', '5047.17', '5068.71', '0.0']
['1731067951.06', '5047.3', '5068.9', '0.0']
['1731067951.56', '5047.43', '5069.09', '0.0']
['1731067952.06', '5047.56', '5069.28', '0.0']
['1731067952.56', '5047.69', '5069.47', '0.0']
['1731067953.06', '5047.82', '5069.66', '0.0']
['1731067953.56', '5047.95', '5069.85', '0.0']
['1731067954.06', '5048.08', '5070.04', '0.0']
['1731067954.56', '5048.21', '5070.23', '0.0']
['1731067955.06', '5048.34', '5070.42', '0.0']
['1731067955.56', '5048.47', '5070.61', '0.0']
['1731067956.06', '5048.6', '5070.8', '0.0']
['1731067956.56', '5048.73', '5070.99', '0.0']
['1731067957.07', '5048.86', '5071.18', '0.0']
['1731067957.57', '5048.99', '5071.37', '0.0']
['1731067958.07', '5049.12', '5071.56', '0.0']
['1731067958.57', '5049.25', '5071.75', '0.0']
['1731067959.07', '5049.38', '5071.94', '0.0']
['1731067959.57', '5049.51', '5072.13', '0.0']
['1731067960.07', '5049.64', '5072.32', '0.0']
['1731067960.57', '5049.77', '5072.51', '0.0']
['1731067961.07', '5049.9', '5072.7', '0.0']
['1731067961.57', '5050.03', '5072.89', '0.0']
['1731067962.07', '5050.16', '5073.08', '0.0']
['1731067962.57', '5050.29', '5073.27', '0.0']
['1731067963.07', '5050.42', '5073.46', '0.0']
['1731067963.57', '5050.55', '5073.65', '0.0']
['1731067964.07', '5050.68', '5073.84', '0.0']
['1731067964.57', '5050.81', '5074.03', '0.0']
['1731067965.07', '5050.94', '5074.22', '0.0']
['1731067965.57', '5051.07', '5074.41', '0.0']
['1731067966.07', '5051.2', '5074.6', '0.0']
['1731067966.57', '5051.33', '5074.79', '0.0']
['1731067967.08', '5051.46', '5074.98', '0.0']
['1731067967.57', '5051.59', '5075.17', '0.0']
['1731067968.08', '5051.72', '5075.36', '0.0']
['1731067968.58', '5051.85', '5075.55', '0.0']
['1731067969.08', '5051.98', '5075.74', '0.0']
['1731067969.58', '5052.11', '5075.93', '0.0']
['1731067970.08', '5052.24', '5076.12', '0.0']
['1731067970.58', '5052.37', '5076.31', '0.0']
['1731067971.08', '5052.5', '5076.5', '0.0']
['1731067971.58', '5052.63', '5076.69', '0.0']
['1731067972.08', '5052.76', '5076.88', '0.0']
['1731067972.58', '5052.89', '5077.07', '0.0']
