1731067770.749457533: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067817.331732784: 64 bytes from 192.168.6.21: icmp_seq=94 ttl=63 time=2.28 ms
1731067817.831458514: 64 bytes from 192.168.6.21: icmp_seq=95 ttl=63 time=1.61 ms
1731067818.332571373: 64 bytes from 192.168.6.21: icmp_seq=96 ttl=63 time=1.46 ms
1731067818.834356880: 64 bytes from 192.168.6.21: icmp_seq=97 ttl=63 time=1.91 ms
1731067819.334540859: 64 bytes from 192.168.6.21: icmp_seq=98 ttl=63 time=2.04 ms
1731067819.838381736: 64 bytes from 192.168.6.21: icmp_seq=99 ttl=63 time=5.44 ms
1731067820.335560158: 64 bytes from 192.168.6.21: icmp_seq=100 ttl=63 time=1.63 ms
1731067820.837742486: 64 bytes from 192.168.6.21: icmp_seq=101 ttl=63 time=2.18 ms
1731067821.338486971: 64 bytes from 192.168.6.21: icmp_seq=102 ttl=63 time=2.36 ms
1731067821.838797230: 64 bytes from 192.168.6.21: icmp_seq=103 ttl=63 time=1.61 ms
1731067822.340203282: 64 bytes from 192.168.6.21: icmp_seq=104 ttl=63 time=2.21 ms
1731067822.840633993: 64 bytes from 192.168.6.21: icmp_seq=105 ttl=63 time=1.78 ms
1731067823.341321040: 64 bytes from 192.168.6.21: icmp_seq=106 ttl=63 time=1.48 ms
1731067823.843085472: 64 bytes from 192.168.6.21: icmp_seq=107 ttl=63 time=2.24 ms
1731067824.346173154: 64 bytes from 192.168.6.21: icmp_seq=108 ttl=63 time=4.67 ms
1731067824.844502887: 64 bytes from 192.168.6.21: icmp_seq=109 ttl=63 time=1.67 ms
1731067825.346712197: 64 bytes from 192.168.6.21: icmp_seq=110 ttl=63 time=2.24 ms
1731067825.846877446: 64 bytes from 192.168.6.21: icmp_seq=111 ttl=63 time=1.83 ms
1731067826.348095774: 64 bytes from 192.168.6.21: icmp_seq=112 ttl=63 time=1.94 ms
1731067826.848670440: 64 bytes from 192.168.6.21: icmp_seq=113 ttl=63 time=1.53 ms
1731067827.349937817: 64 bytes from 192.168.6.21: icmp_seq=114 ttl=63 time=2.10 ms
1731067827.851645663: 64 bytes from 192.168.6.21: icmp_seq=115 ttl=63 time=2.60 ms
1731067828.352212789: 64 bytes from 192.168.6.21: icmp_seq=116 ttl=63 time=1.80 ms
1731067828.853706043: 64 bytes from 192.168.6.21: icmp_seq=117 ttl=63 time=2.16 ms
1731067829.359112935: 64 bytes from 192.168.6.21: icmp_seq=118 ttl=63 time=7.40 ms
1731067829.854028030: 64 bytes from 192.168.6.21: icmp_seq=119 ttl=63 time=1.61 ms
1731067830.356876310: 64 bytes from 192.168.6.21: icmp_seq=120 ttl=63 time=2.42 ms
1731067830.856576758: 64 bytes from 192.168.6.21: icmp_seq=121 ttl=63 time=1.89 ms
1731067831.357129107: 64 bytes from 192.168.6.21: icmp_seq=122 ttl=63 time=1.42 ms
1731067831.859097671: 64 bytes from 192.168.6.21: icmp_seq=123 ttl=63 time=2.21 ms
1731067832.359536497: 64 bytes from 192.168.6.21: icmp_seq=124 ttl=63 time=1.64 ms
1731067832.860392965: 64 bytes from 192.168.6.21: icmp_seq=125 ttl=63 time=1.58 ms
1731067833.362321038: 64 bytes from 192.168.6.21: icmp_seq=126 ttl=63 time=1.93 ms
1731067833.869183931: 64 bytes from 192.168.6.21: icmp_seq=127 ttl=63 time=8.77 ms
1731067834.364018183: 64 bytes from 192.168.6.21: icmp_seq=128 ttl=63 time=1.92 ms
1731067834.864292043: 64 bytes from 192.168.6.21: icmp_seq=129 ttl=63 time=1.48 ms
1731067835.365559282: 64 bytes from 192.168.6.21: icmp_seq=130 ttl=63 time=2.19 ms
1731067835.866854396: 64 bytes from 192.168.6.21: icmp_seq=131 ttl=63 time=2.55 ms
1731067836.366921530: 64 bytes from 192.168.6.21: icmp_seq=132 ttl=63 time=1.60 ms
1731067836.868887164: 64 bytes from 192.168.6.21: icmp_seq=133 ttl=63 time=2.66 ms
1731067837.370453286: 64 bytes from 192.168.6.21: icmp_seq=134 ttl=63 time=2.39 ms
1731067837.871023500: 64 bytes from 192.168.6.21: icmp_seq=135 ttl=63 time=1.76 ms
1731067838.375013585: 64 bytes from 192.168.6.21: icmp_seq=136 ttl=63 time=4.98 ms
1731067838.872495267: 64 bytes from 192.168.6.21: icmp_seq=137 ttl=63 time=1.65 ms
1731067839.373885204: 64 bytes from 192.168.6.21: icmp_seq=138 ttl=63 time=1.57 ms
1731067839.875069044: 64 bytes from 192.168.6.21: icmp_seq=139 ttl=63 time=2.02 ms
1731067840.375577216: 64 bytes from 192.168.6.21: icmp_seq=140 ttl=63 time=1.70 ms
1731067840.876613535: 64 bytes from 192.168.6.21: icmp_seq=141 ttl=63 time=1.44 ms
1731067841.377787228: 64 bytes from 192.168.6.21: icmp_seq=142 ttl=63 time=1.93 ms
1731067841.878827447: 64 bytes from 192.168.6.21: icmp_seq=143 ttl=63 time=1.90 ms
1731067842.379174262: 64 bytes from 192.168.6.21: icmp_seq=144 ttl=63 time=2.30 ms
1731067842.879965833: 64 bytes from 192.168.6.21: icmp_seq=145 ttl=63 time=2.05 ms
1731067843.380925640: 64 bytes from 192.168.6.21: icmp_seq=146 ttl=63 time=2.41 ms
1731067843.882076472: 64 bytes from 192.168.6.21: icmp_seq=147 ttl=63 time=2.17 ms
1731067844.382194238: 64 bytes from 192.168.6.21: icmp_seq=148 ttl=63 time=1.45 ms
1731067844.883803570: 64 bytes from 192.168.6.21: icmp_seq=149 ttl=63 time=2.33 ms
1731067845.384533941: 64 bytes from 192.168.6.21: icmp_seq=150 ttl=63 time=1.68 ms
1731067845.885754731: 64 bytes from 192.168.6.21: icmp_seq=151 ttl=63 time=1.63 ms
1731067846.387484445: 64 bytes from 192.168.6.21: icmp_seq=152 ttl=63 time=2.48 ms
1731067846.887756321: 64 bytes from 192.168.6.21: icmp_seq=153 ttl=63 time=1.63 ms
1731067847.388691063: 64 bytes from 192.168.6.21: icmp_seq=154 ttl=63 time=1.67 ms
1731067847.901628227: 64 bytes from 192.168.6.21: icmp_seq=155 ttl=63 time=13.5 ms
1731067848.391793994: 64 bytes from 192.168.6.21: icmp_seq=156 ttl=63 time=1.63 ms
1731067848.893356247: 64 bytes from 192.168.6.21: icmp_seq=157 ttl=63 time=1.81 ms
1731067849.394624703: 64 bytes from 192.168.6.21: icmp_seq=158 ttl=63 time=2.12 ms
1731067849.895568944: 64 bytes from 192.168.6.21: icmp_seq=159 ttl=63 time=1.81 ms
1731067850.397311633: 64 bytes from 192.168.6.21: icmp_seq=160 ttl=63 time=2.04 ms
1731067850.896026121: 64 bytes from 192.168.6.21: icmp_seq=161 ttl=63 time=1.74 ms
1731067851.397592694: 64 bytes from 192.168.6.21: icmp_seq=162 ttl=63 time=1.83 ms
1731067851.899284392: 64 bytes from 192.168.6.21: icmp_seq=163 ttl=63 time=2.04 ms
1731067852.402414169: 64 bytes from 192.168.6.21: icmp_seq=164 ttl=63 time=4.67 ms
1731067852.902018706: 64 bytes from 192.168.6.21: icmp_seq=165 ttl=63 time=2.35 ms
