1731067770.700665532: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067814.288531128: 64 bytes from 192.168.6.12: icmp_seq=88 ttl=63 time=1.81 ms
1731067814.790179478: 64 bytes from 192.168.6.12: icmp_seq=89 ttl=63 time=2.83 ms
1731067815.291179723: 64 bytes from 192.168.6.12: icmp_seq=90 ttl=63 time=2.71 ms
1731067815.791758774: 64 bytes from 192.168.6.12: icmp_seq=91 ttl=63 time=1.70 ms
1731067816.293341203: 64 bytes from 192.168.6.12: icmp_seq=92 ttl=63 time=2.34 ms
1731067816.794509210: 64 bytes from 192.168.6.12: icmp_seq=93 ttl=63 time=2.16 ms
1731067817.294643146: 64 bytes from 192.168.6.12: icmp_seq=94 ttl=63 time=1.59 ms
1731067817.796386756: 64 bytes from 192.168.6.12: icmp_seq=95 ttl=63 time=2.24 ms
1731067818.302000778: 64 bytes from 192.168.6.12: icmp_seq=96 ttl=63 time=7.31 ms
1731067818.797106381: 64 bytes from 192.168.6.12: icmp_seq=97 ttl=63 time=1.40 ms
1731067819.299396709: 64 bytes from 192.168.6.12: icmp_seq=98 ttl=63 time=2.33 ms
1731067819.799529580: 64 bytes from 192.168.6.12: icmp_seq=99 ttl=63 time=1.79 ms
1731067820.300704457: 64 bytes from 192.168.6.12: icmp_seq=100 ttl=63 time=1.53 ms
1731067820.801786705: 64 bytes from 192.168.6.12: icmp_seq=101 ttl=63 time=1.71 ms
1731067821.303486659: 64 bytes from 192.168.6.12: icmp_seq=102 ttl=63 time=1.41 ms
1731067821.804168056: 64 bytes from 192.168.6.12: icmp_seq=103 ttl=63 time=1.61 ms
1731067822.306151878: 64 bytes from 192.168.6.12: icmp_seq=104 ttl=63 time=2.35 ms
1731067822.810765614: 64 bytes from 192.168.6.12: icmp_seq=105 ttl=63 time=6.06 ms
1731067823.307822889: 64 bytes from 192.168.6.12: icmp_seq=106 ttl=63 time=2.09 ms
1731067823.808137282: 64 bytes from 192.168.6.12: icmp_seq=107 ttl=63 time=1.54 ms
1731067824.310697512: 64 bytes from 192.168.6.12: icmp_seq=108 ttl=63 time=2.72 ms
1731067824.812560832: 64 bytes from 192.168.6.12: icmp_seq=109 ttl=63 time=3.52 ms
1731067825.312595016: 64 bytes from 192.168.6.12: icmp_seq=110 ttl=63 time=2.45 ms
1731067825.815364629: 64 bytes from 192.168.6.12: icmp_seq=111 ttl=63 time=3.37 ms
1731067826.314831046: 64 bytes from 192.168.6.12: icmp_seq=112 ttl=63 time=2.40 ms
1731067826.816115601: 64 bytes from 192.168.6.12: icmp_seq=113 ttl=63 time=1.68 ms
1731067827.318024828: 64 bytes from 192.168.6.12: icmp_seq=114 ttl=63 time=2.51 ms
1731067827.826369665: 64 bytes from 192.168.6.12: icmp_seq=115 ttl=63 time=9.14 ms
1731067828.319651105: 64 bytes from 192.168.6.12: icmp_seq=116 ttl=63 time=1.84 ms
1731067828.821280450: 64 bytes from 192.168.6.12: icmp_seq=117 ttl=63 time=2.36 ms
1731067829.321817940: 64 bytes from 192.168.6.12: icmp_seq=118 ttl=63 time=2.34 ms
1731067829.821791132: 64 bytes from 192.168.6.12: icmp_seq=119 ttl=63 time=1.57 ms
1731067830.323986781: 64 bytes from 192.168.6.12: icmp_seq=120 ttl=63 time=2.58 ms
1731067830.824309615: 64 bytes from 192.168.6.12: icmp_seq=121 ttl=63 time=1.66 ms
1731067831.324623000: 64 bytes from 192.168.6.12: icmp_seq=122 ttl=63 time=1.38 ms
1731067831.826916056: 64 bytes from 192.168.6.12: icmp_seq=123 ttl=63 time=2.02 ms
1731067832.333496519: 64 bytes from 192.168.6.12: icmp_seq=124 ttl=63 time=8.50 ms
1731067832.828139927: 64 bytes from 192.168.6.12: icmp_seq=125 ttl=63 time=2.19 ms
1731067833.328849567: 64 bytes from 192.168.6.12: icmp_seq=126 ttl=63 time=1.87 ms
1731067833.829835446: 64 bytes from 192.168.6.12: icmp_seq=127 ttl=63 time=2.06 ms
1731067834.331558815: 64 bytes from 192.168.6.12: icmp_seq=128 ttl=63 time=3.04 ms
1731067834.831582495: 64 bytes from 192.168.6.12: icmp_seq=129 ttl=63 time=1.99 ms
1731067835.333662088: 64 bytes from 192.168.6.12: icmp_seq=130 ttl=63 time=3.60 ms
1731067835.833709757: 64 bytes from 192.168.6.12: icmp_seq=131 ttl=63 time=2.12 ms
1731067836.333869006: 64 bytes from 192.168.6.12: icmp_seq=132 ttl=63 time=1.76 ms
1731067836.838733703: 64 bytes from 192.168.6.12: icmp_seq=133 ttl=63 time=5.37 ms
1731067837.336495426: 64 bytes from 192.168.6.12: icmp_seq=134 ttl=63 time=1.61 ms
1731067837.837253282: 64 bytes from 192.168.6.12: icmp_seq=135 ttl=63 time=1.63 ms
1731067838.339571980: 64 bytes from 192.168.6.12: icmp_seq=136 ttl=63 time=2.40 ms
1731067838.839444625: 64 bytes from 192.168.6.12: icmp_seq=137 ttl=63 time=1.89 ms
1731067839.340033395: 64 bytes from 192.168.6.12: icmp_seq=138 ttl=63 time=1.59 ms
1731067839.842079751: 64 bytes from 192.168.6.12: icmp_seq=139 ttl=63 time=2.42 ms
1731067840.342427286: 64 bytes from 192.168.6.12: icmp_seq=140 ttl=63 time=2.29 ms
1731067840.843775196: 64 bytes from 192.168.6.12: icmp_seq=141 ttl=63 time=2.04 ms
1731067841.344744030: 64 bytes from 192.168.6.12: icmp_seq=142 ttl=63 time=1.84 ms
1731067841.845178408: 64 bytes from 192.168.6.12: icmp_seq=143 ttl=63 time=2.18 ms
1731067842.345342949: 64 bytes from 192.168.6.12: icmp_seq=144 ttl=63 time=1.94 ms
1731067842.845911957: 64 bytes from 192.168.6.12: icmp_seq=145 ttl=63 time=1.50 ms
1731067843.348173195: 64 bytes from 192.168.6.12: icmp_seq=146 ttl=63 time=2.42 ms
1731067843.847782093: 64 bytes from 192.168.6.12: icmp_seq=147 ttl=63 time=1.47 ms
1731067844.348350603: 64 bytes from 192.168.6.12: icmp_seq=148 ttl=63 time=1.48 ms
1731067844.850814604: 64 bytes from 192.168.6.12: icmp_seq=149 ttl=63 time=2.29 ms
1731067845.351295105: 64 bytes from 192.168.6.12: icmp_seq=150 ttl=63 time=1.66 ms
1731067845.853536644: 64 bytes from 192.168.6.12: icmp_seq=151 ttl=63 time=2.20 ms
1731067846.363117058: 64 bytes from 192.168.6.12: icmp_seq=152 ttl=63 time=11.6 ms
1731067846.854633361: 64 bytes from 192.168.6.12: icmp_seq=153 ttl=63 time=1.98 ms
1731067847.355500038: 64 bytes from 192.168.6.12: icmp_seq=154 ttl=63 time=2.36 ms
1731067847.855692945: 64 bytes from 192.168.6.12: icmp_seq=155 ttl=63 time=1.72 ms
1731067848.357510294: 64 bytes from 192.168.6.12: icmp_seq=156 ttl=63 time=2.32 ms
1731067848.857755453: 64 bytes from 192.168.6.12: icmp_seq=157 ttl=63 time=2.05 ms
1731067849.358452255: 64 bytes from 192.168.6.12: icmp_seq=158 ttl=63 time=1.74 ms
1731067849.860274309: 64 bytes from 192.168.6.12: icmp_seq=159 ttl=63 time=2.39 ms
1731067850.360955702: 64 bytes from 192.168.6.12: icmp_seq=160 ttl=63 time=1.90 ms
1731067850.864894529: 64 bytes from 192.168.6.12: icmp_seq=161 ttl=63 time=5.62 ms
1731067851.363733135: 64 bytes from 192.168.6.12: icmp_seq=162 ttl=63 time=2.28 ms
1731067851.863630106: 64 bytes from 192.168.6.12: icmp_seq=163 ttl=63 time=1.56 ms
1731067852.364313342: 64 bytes from 192.168.6.12: icmp_seq=164 ttl=63 time=1.63 ms
1731067852.866311427: 64 bytes from 192.168.6.12: icmp_seq=165 ttl=63 time=2.23 ms
1731067853.366450714: 64 bytes from 192.168.6.12: icmp_seq=166 ttl=63 time=1.75 ms
1731067853.868167021: 64 bytes from 192.168.6.12: icmp_seq=167 ttl=63 time=2.25 ms
1731067854.367128314: 64 bytes from 192.168.6.12: icmp_seq=168 ttl=63 time=1.65 ms
1731067854.869431778: 64 bytes from 192.168.6.12: icmp_seq=169 ttl=63 time=2.14 ms
1731067855.373901947: 64 bytes from 192.168.6.12: icmp_seq=170 ttl=63 time=5.56 ms
1731067855.871239573: 64 bytes from 192.168.6.12: icmp_seq=171 ttl=63 time=1.65 ms
1731067856.373714269: 64 bytes from 192.168.6.12: icmp_seq=172 ttl=63 time=3.14 ms
1731067856.872196270: 64 bytes from 192.168.6.12: icmp_seq=173 ttl=63 time=1.68 ms
1731067857.373665347: 64 bytes from 192.168.6.12: icmp_seq=174 ttl=63 time=1.61 ms
1731067857.875462446: 64 bytes from 192.168.6.12: icmp_seq=175 ttl=63 time=2.19 ms
1731067858.375411743: 64 bytes from 192.168.6.12: icmp_seq=176 ttl=63 time=1.61 ms
1731067858.877531515: 64 bytes from 192.168.6.12: icmp_seq=177 ttl=63 time=1.82 ms
1731067859.379242979: 64 bytes from 192.168.6.12: icmp_seq=178 ttl=63 time=2.05 ms
1731067859.879509030: 64 bytes from 192.168.6.12: icmp_seq=179 ttl=63 time=1.64 ms
1731067860.386043925: 64 bytes from 192.168.6.12: icmp_seq=180 ttl=63 time=6.92 ms
1731067860.881203191: 64 bytes from 192.168.6.12: icmp_seq=181 ttl=63 time=1.77 ms
1731067861.382528012: 64 bytes from 192.168.6.12: icmp_seq=182 ttl=63 time=1.81 ms
1731067861.883718736: 64 bytes from 192.168.6.12: icmp_seq=183 ttl=63 time=1.73 ms
1731067862.386122809: 64 bytes from 192.168.6.12: icmp_seq=184 ttl=63 time=2.38 ms
1731067862.886428713: 64 bytes from 192.168.6.12: icmp_seq=185 ttl=63 time=1.83 ms
1731067863.388006133: 64 bytes from 192.168.6.12: icmp_seq=186 ttl=63 time=1.91 ms
1731067863.888490617: 64 bytes from 192.168.6.12: icmp_seq=187 ttl=63 time=1.63 ms
1731067864.390154716: 64 bytes from 192.168.6.12: icmp_seq=188 ttl=63 time=2.18 ms
1731067864.894897381: 64 bytes from 192.168.6.12: icmp_seq=189 ttl=63 time=6.05 ms
1731067865.391809513: 64 bytes from 192.168.6.12: icmp_seq=190 ttl=63 time=1.69 ms
1731067865.893521840: 64 bytes from 192.168.6.12: icmp_seq=191 ttl=63 time=2.99 ms
1731067866.393665797: 64 bytes from 192.168.6.12: icmp_seq=192 ttl=63 time=2.16 ms
1731067866.893969037: 64 bytes from 192.168.6.12: icmp_seq=193 ttl=63 time=1.72 ms
1731067867.395805809: 64 bytes from 192.168.6.12: icmp_seq=194 ttl=63 time=1.99 ms
1731067867.895580021: 64 bytes from 192.168.6.12: icmp_seq=195 ttl=63 time=1.52 ms
1731067868.396728208: 64 bytes from 192.168.6.12: icmp_seq=196 ttl=63 time=1.64 ms
1731067868.898199975: 64 bytes from 192.168.6.12: icmp_seq=197 ttl=63 time=1.98 ms
1731067869.403479436: 64 bytes from 192.168.6.12: icmp_seq=198 ttl=63 time=6.63 ms
1731067869.900213496: 64 bytes from 192.168.6.12: icmp_seq=199 ttl=63 time=2.12 ms
1731067870.400845482: 64 bytes from 192.168.6.12: icmp_seq=200 ttl=63 time=1.68 ms
1731067870.901998607: 64 bytes from 192.168.6.12: icmp_seq=201 ttl=63 time=2.14 ms
1731067871.416735085: 64 bytes from 192.168.6.12: icmp_seq=202 ttl=63 time=16.7 ms
1731067871.903896142: 64 bytes from 192.168.6.12: icmp_seq=203 ttl=63 time=1.74 ms
1731067872.406361539: 64 bytes from 192.168.6.12: icmp_seq=204 ttl=63 time=2.26 ms
1731067872.907008801: 64 bytes from 192.168.6.12: icmp_seq=205 ttl=63 time=2.70 ms
1731067873.407032715: 64 bytes from 192.168.6.12: icmp_seq=206 ttl=63 time=1.84 ms
1731067873.909765131: 64 bytes from 192.168.6.12: icmp_seq=207 ttl=63 time=2.12 ms
1731067874.416763916: 64 bytes from 192.168.6.12: icmp_seq=208 ttl=63 time=9.06 ms
1731067874.909993594: 64 bytes from 192.168.6.12: icmp_seq=209 ttl=63 time=1.53 ms
1731067875.411512598: 64 bytes from 192.168.6.12: icmp_seq=210 ttl=63 time=2.49 ms
1731067875.912100643: 64 bytes from 192.168.6.12: icmp_seq=211 ttl=63 time=1.63 ms
1731067876.413657769: 64 bytes from 192.168.6.12: icmp_seq=212 ttl=63 time=1.79 ms
1731067876.914271783: 64 bytes from 192.168.6.12: icmp_seq=213 ttl=63 time=2.07 ms
1731067877.414738786: 64 bytes from 192.168.6.12: icmp_seq=214 ttl=63 time=1.62 ms
1731067877.915954328: 64 bytes from 192.168.6.12: icmp_seq=215 ttl=63 time=1.75 ms
1731067878.417627275: 64 bytes from 192.168.6.12: icmp_seq=216 ttl=63 time=1.90 ms
1731067878.925188166: 64 bytes from 192.168.6.12: icmp_seq=217 ttl=63 time=8.86 ms
1731067879.420292244: 64 bytes from 192.168.6.12: icmp_seq=218 ttl=63 time=2.20 ms
1731067879.920917028: 64 bytes from 192.168.6.12: icmp_seq=219 ttl=63 time=1.65 ms
1731067880.421857759: 64 bytes from 192.168.6.12: icmp_seq=220 ttl=63 time=2.04 ms
1731067880.923546192: 64 bytes from 192.168.6.12: icmp_seq=221 ttl=63 time=2.71 ms
1731067881.423403578: 64 bytes from 192.168.6.12: icmp_seq=222 ttl=63 time=1.62 ms
1731067881.926746640: 64 bytes from 192.168.6.12: icmp_seq=223 ttl=63 time=3.05 ms
1731067882.427651574: 64 bytes from 192.168.6.12: icmp_seq=224 ttl=63 time=3.57 ms
1731067882.926677723: 64 bytes from 192.168.6.12: icmp_seq=225 ttl=63 time=1.73 ms
1731067883.431510459: 64 bytes from 192.168.6.12: icmp_seq=226 ttl=63 time=5.02 ms
1731067883.929627569: 64 bytes from 192.168.6.12: icmp_seq=227 ttl=63 time=2.25 ms
1731067884.429594736: 64 bytes from 192.168.6.12: icmp_seq=228 ttl=63 time=1.43 ms
1731067884.932170703: 64 bytes from 192.168.6.12: icmp_seq=229 ttl=63 time=3.51 ms
1731067885.431151818: 64 bytes from 192.168.6.12: icmp_seq=230 ttl=63 time=2.23 ms
1731067885.933043047: 64 bytes from 192.168.6.12: icmp_seq=231 ttl=63 time=2.44 ms
1731067886.432531934: 64 bytes from 192.168.6.12: icmp_seq=232 ttl=63 time=1.66 ms
1731067886.934264338: 64 bytes from 192.168.6.12: icmp_seq=233 ttl=63 time=1.81 ms
1731067887.436182557: 64 bytes from 192.168.6.12: icmp_seq=234 ttl=63 time=2.42 ms
1731067887.936879770: 64 bytes from 192.168.6.12: icmp_seq=235 ttl=63 time=1.66 ms
1731067888.443558927: 64 bytes from 192.168.6.12: icmp_seq=236 ttl=63 time=7.20 ms
1731067888.939250442: 64 bytes from 192.168.6.12: icmp_seq=237 ttl=63 time=2.28 ms
1731067889.439787736: 64 bytes from 192.168.6.12: icmp_seq=238 ttl=63 time=1.95 ms
1731067889.940599419: 64 bytes from 192.168.6.12: icmp_seq=239 ttl=63 time=2.57 ms
1731067890.441638772: 64 bytes from 192.168.6.12: icmp_seq=240 ttl=63 time=1.96 ms
1731067890.941186402: 64 bytes from 192.168.6.12: icmp_seq=241 ttl=63 time=1.42 ms
1731067891.443095598: 64 bytes from 192.168.6.12: icmp_seq=242 ttl=63 time=1.96 ms
1731067891.942424139: 64 bytes from 192.168.6.12: icmp_seq=243 ttl=63 time=1.46 ms
1731067892.547826619: 64 bytes from 192.168.6.12: icmp_seq=244 ttl=63 time=105 ms
1731067892.954340130: 64 bytes from 192.168.6.12: icmp_seq=245 ttl=63 time=10.5 ms
1731067893.453952131: 64 bytes from 192.168.6.12: icmp_seq=246 ttl=63 time=9.60 ms
1731067893.950796972: 64 bytes from 192.168.6.12: icmp_seq=247 ttl=63 time=3.37 ms
1731067894.449238657: 64 bytes from 192.168.6.12: icmp_seq=248 ttl=63 time=1.72 ms
1731067894.950764265: 64 bytes from 192.168.6.12: icmp_seq=249 ttl=63 time=1.60 ms
1731067895.451411075: 64 bytes from 192.168.6.12: icmp_seq=250 ttl=63 time=2.23 ms
1731067895.952075383: 64 bytes from 192.168.6.12: icmp_seq=251 ttl=63 time=1.59 ms
1731067896.453752863: 64 bytes from 192.168.6.12: icmp_seq=252 ttl=63 time=2.29 ms
1731067896.954580800: 64 bytes from 192.168.6.12: icmp_seq=253 ttl=63 time=2.14 ms
1731067897.458574006: 64 bytes from 192.168.6.12: icmp_seq=254 ttl=63 time=5.57 ms
1731067897.957301199: 64 bytes from 192.168.6.12: icmp_seq=255 ttl=63 time=2.63 ms
1731067898.457367638: 64 bytes from 192.168.6.12: icmp_seq=256 ttl=63 time=2.12 ms
1731067898.957499670: 64 bytes from 192.168.6.12: icmp_seq=257 ttl=63 time=1.56 ms
1731067899.458652141: 64 bytes from 192.168.6.12: icmp_seq=258 ttl=63 time=1.97 ms
1731067899.960412025: 64 bytes from 192.168.6.12: icmp_seq=259 ttl=63 time=1.76 ms
1731067900.461463314: 64 bytes from 192.168.6.12: icmp_seq=260 ttl=63 time=1.83 ms
1731067900.962710998: 64 bytes from 192.168.6.12: icmp_seq=261 ttl=63 time=1.91 ms
1731067901.462994560: 64 bytes from 192.168.6.12: icmp_seq=262 ttl=63 time=1.67 ms
1731067901.966728137: 64 bytes from 192.168.6.12: icmp_seq=263 ttl=63 time=3.08 ms
1731067902.465377838: 64 bytes from 192.168.6.12: icmp_seq=264 ttl=63 time=1.97 ms
1731067903.044327688: 64 bytes from 192.168.6.12: icmp_seq=265 ttl=63 time=79.4 ms
1731067903.468006188: 64 bytes from 192.168.6.12: icmp_seq=266 ttl=63 time=2.55 ms
1731067903.967392005: 64 bytes from 192.168.6.12: icmp_seq=267 ttl=63 time=1.63 ms
1731067904.469507285: 64 bytes from 192.168.6.12: icmp_seq=268 ttl=63 time=2.15 ms
1731067904.970539891: 64 bytes from 192.168.6.12: icmp_seq=269 ttl=63 time=2.39 ms
1731067905.470438078: 64 bytes from 192.168.6.12: icmp_seq=270 ttl=63 time=1.67 ms
1731067905.972892736: 64 bytes from 192.168.6.12: icmp_seq=271 ttl=63 time=2.88 ms
1731067906.474327691: 64 bytes from 192.168.6.12: icmp_seq=272 ttl=63 time=2.80 ms
1731067906.981523647: 64 bytes from 192.168.6.12: icmp_seq=273 ttl=63 time=7.98 ms
1731067907.476751294: 64 bytes from 192.168.6.12: icmp_seq=274 ttl=63 time=2.46 ms
1731067907.977587338: 64 bytes from 192.168.6.12: icmp_seq=275 ttl=63 time=2.04 ms
