Time,C1_X,C1_Y,C1_Z
1731069018.84,5324.46,5473.98,0.0
1731069019.34,5324.59,5474.17,0.0
1731069019.84,5324.72,5474.36,0.0
1731069020.34,5324.85,5474.55,0.0
1731069020.84,5324.98,5474.74,0.0
1731069021.34,5325.11,5474.93,0.0
1731069021.84,5325.24,5475.12,0.0
1731069022.34,5325.37,5475.31,0.0
1731069022.84,5325.5,5475.5,0.0
1731069023.34,5325.63,5475.69,0.0
1731069023.84,5325.76,5475.88,0.0
1731069024.34,5325.89,5476.07,0.0
1731069024.84,5326.02,5476.26,0.0
1731069025.35,5326.15,5476.45,0.0
1731069025.85,5326.28,5476.64,0.0
1731069026.35,5326.41,5476.83,0.0
1731069026.85,5326.54,5477.02,0.0
1731069027.35,5326.67,5477.21,0.0
1731069027.85,5326.8,5477.4,0.0
1731069028.35,5326.93,5477.59,0.0
1731069028.85,5327.06,5477.78,0.0
1731069029.35,5327.19,5477.97,0.0
1731069029.85,5327.32,5478.16,0.0
1731069030.35,5327.45,5478.35,0.0
1731069030.85,5327.58,5478.54,0.0
1731069031.35,5327.71,5478.73,0.0
1731069031.85,5327.84,5478.92,0.0
1731069032.35,5327.97,5479.11,0.0
1731069032.85,5328.1,5479.3,0.0
1731069033.35,5328.23,5479.49,0.0
1731069033.85,5328.36,5479.68,0.0
1731069034.35,5328.49,5479.87,0.0
1731069034.85,5328.62,5480.06,0.0
1731069035.35,5328.75,5480.25,0.0
1731069035.86,5328.88,5480.44,0.0
1731069036.36,5329.01,5480.63,0.0
1731069036.86,5329.14,5480.82,0.0
1731069037.36,5329.27,5481.01,0.0
1731069037.86,5329.4,5481.2,0.0
1731069038.36,5329.53,5481.39,0.0
1731069038.86,5329.66,5481.58,0.0
1731069039.36,5329.79,5481.77,0.0
1731069039.86,5329.92,5481.96,0.0
1731069040.36,5330.05,5482.15,0.0
1731069040.86,5330.18,5482.34,0.0
1731069041.36,5330.31,5482.53,0.0
1731069041.86,5330.44,5482.72,0.0
1731069042.36,5330.57,5482.91,0.0
1731069042.86,5330.7,5483.1,0.0
1731069043.36,5330.83,5483.29,0.0
1731069043.86,5330.96,5483.48,0.0
1731069044.36,5331.09,5483.67,0.0
1731069044.87,5331.22,5483.86,0.0
1731069045.37,5331.35,5484.05,0.0
1731069045.87,5331.48,5484.24,0.0
1731069046.37,5331.61,5484.43,0.0
1731069046.87,5331.74,5484.62,0.0
1731069047.37,5331.87,5484.81,0.0
1731069047.87,5332.0,5485.0,0.0
1731069048.37,5332.13,5485.19,0.0
1731069048.87,5332.26,5485.38,0.0
1731069049.37,5332.39,5485.57,0.0
1731069049.87,5332.52,5485.76,0.0
1731069050.37,5332.65,5485.95,0.0
