Time,Bitrate,Jitter,Datagrams,Delay,C1_X,C1_Y,C1_Z,F1_X,F1_Y,F1_Z,Distance
1731068807.81,20.5,0.523,0.0,1.02,5269.6,5393.8,0.0,7207.5,9207.0,0.0,4277.3766083897735
1731068808.31,19.8,0.512,0.0,0.866,5269.73,5393.99,0.0,7207.6,9207.1,0.0,4277.282783380122
1731068808.81,19.8,0.602,0.0,0.895,5269.86,5394.18,0.0,7207.7,9207.2,0.0,4277.188958416497
1731068809.31,19.9,0.615,0.0,0.757,5269.99,5394.37,0.0,7207.8,9207.3,0.0,4277.095133498902
1731068809.81,20.5,0.45,0.0,0.966,5270.12,5394.56,0.0,7207.9,9207.4,0.0,4277.001308627341
1731068810.31,19.8,0.474,0.0,1.28,5270.25,5394.75,0.0,7208.0,9207.5,0.0,4276.907483801819
1731068810.81,19.8,0.478,0.0,6.98,5270.38,5394.94,0.0,7208.1,9207.6,0.0,4276.813659022334
1731068811.31,19.8,0.409,0.0,0.877,5270.51,5395.13,0.0,7208.2,9207.7,0.0,4276.719834288891
1731068811.81,20.5,0.412,0.0,0.858,5270.64,5395.32,0.0,7208.3,9207.8,0.0,4276.626009601494
1731068812.31,19.2,0.465,0.032,1.13,5270.77,5395.51,0.0,7208.4,9207.9,0.0,4276.532184960145
1731068812.81,19.8,0.606,0.0,1.34,5270.9,5395.7,0.0,7208.5,9208.0,0.0,4276.438360364849
1731068813.31,19.8,0.545,0.0,0.943,5271.03,5395.89,0.0,7208.6,9208.1,0.0,4276.344535815607
1731068813.81,20.5,0.496,0.0,0.865,5271.16,5396.08,0.0,7208.7,9208.2,0.0,4276.250711312423
1731068814.31,19.8,0.547,0.0,0.66,5271.29,5396.27,0.0,7208.8,9208.3,0.0,4276.156886855298
1731068814.81,19.8,0.582,0.0,1.01,5271.42,5396.46,0.0,7208.9,9208.4,0.0,4276.063062444238
1731068815.31,19.9,0.71,0.0,1.52,5271.55,5396.65,0.0,7209.0,9208.5,0.0,4275.969238079246
1731068815.81,20.5,0.581,0.0,0.79,5271.68,5396.84,0.0,7209.1,9208.6,0.0,4275.875413760322
1731068816.31,19.8,0.6,0.0,1.09,5271.81,5397.03,0.0,7209.2,9208.7,0.0,4275.781589487471
1731068816.81,19.9,1.026,0.0,2.3,5271.94,5397.22,0.0,7209.3,9208.8,0.0,4275.687765260695
1731068817.31,19.8,0.95,0.0,3.27,5272.07,5397.41,0.0,7209.4,9208.9,0.0,4275.593941079999
1731068817.81,20.5,0.704,0.0,1.16,5272.2,5397.6,0.0,7209.5,9209.0,0.0,4275.500116945384
1731068818.31,19.8,0.754,0.0,0.893,5272.33,5397.79,0.0,7209.6,9209.1,0.0,4275.4062928568555
1731068818.81,19.9,0.806,0.0,0.79,5272.46,5397.98,0.0,7209.7,9209.2,0.0,4275.312468814415
1731068819.31,19.8,0.651,0.0,0.811,5272.59,5398.17,0.0,7209.8,9209.3,0.0,4275.218644818063
1731068819.81,19.8,0.697,0.0,0.849,5272.72,5398.36,0.0,7209.9,9209.4,0.0,4275.124820867807
1731068820.31,20.5,0.521,0.0,1.03,5272.85,5398.55,0.0,7210.0,9209.5,0.0,4275.030996963647
1731068820.81,19.8,0.59,0.0,0.804,5272.98,5398.74,0.0,7210.1,9209.6,0.0,4274.937173105589
1731068821.31,19.8,0.571,0.0,1.01,5273.11,5398.93,0.0,7210.2,9209.7,0.0,4274.843349293633
1731068821.81,20.5,0.624,0.0,1.4,5273.24,5399.12,0.0,7210.3,9209.8,0.0,4274.749525527782
1731068822.31,19.8,0.631,0.0,0.823,5273.37,5399.31,0.0,7210.4,9209.9,0.0,4274.655701808041
1731068822.81,19.9,0.628,0.0,1.0,5273.5,5399.5,0.0,7210.5,9210.0,0.0,4274.561878134413
1731068823.31,19.8,0.704,0.0,1.33,5273.63,5399.69,0.0,7210.6,9210.1,0.0,4274.4680545069
1731068823.81,20.5,0.802,0.0,0.842,5273.76,5399.88,0.0,7210.7,9210.2,0.0,4274.374230925505
1731068824.31,19.8,0.698,0.0,0.984,5273.89,5400.07,0.0,7210.8,9210.3,0.0,4274.280407390231
1731068824.81,19.9,0.958,0.0,1.41,5274.02,5400.26,0.0,7210.9,9210.4,0.0,4274.186583901081
1731068825.31,19.8,0.985,0.0,0.817,5274.15,5400.45,0.0,7211.0,9210.5,0.0,4274.09276045806
1731068825.81,19.9,0.823,0.031,4.92,5274.28,5400.64,0.0,7211.1,9210.6,0.0,4273.998937061169
1731068826.31,19.8,0.942,0.0,1.52,5274.41,5400.83,0.0,7211.2,9210.7,0.0,4273.905113710412
1731068826.81,19.8,1.014,0.0,0.876,5274.54,5401.02,0.0,7211.3,9210.8,0.0,4273.811290405789
1731068827.31,19.8,0.979,0.0,1.05,5274.67,5401.21,0.0,7211.4,9210.9,0.0,4273.717467147308
1731068827.81,20.5,0.96,0.0,1.12,5274.8,5401.4,0.0,7211.5,9211.0,0.0,4273.623643934969
1731068828.31,19.2,0.434,0.0,1.05,5274.93,5401.59,0.0,7211.6,9211.1,0.0,4273.529820768776
1731068828.81,20.5,0.62,0.0,1.09,5275.06,5401.78,0.0,7211.7,9211.2,0.0,4273.435997648731
1731068829.31,19.9,0.4,0.0,0.807,5275.19,5401.97,0.0,7211.8,9211.3,0.0,4273.3421745748365
1731068829.81,19.8,0.394,0.0,1.02,5275.32,5402.16,0.0,7211.9,9211.4,0.0,4273.2483515470985
1731068830.31,20.5,0.494,0.0,1.2,5275.45,5402.35,0.0,7212.0,9211.5,0.0,4273.154528565518
1731068830.81,19.8,0.572,0.0,1.04,5275.58,5402.54,0.0,7212.1,9211.6,0.0,4273.0607056301
1731068831.31,19.8,0.445,0.0,1.99,5275.71,5402.73,0.0,7212.2,9211.7,0.0,4272.966882740844
1731068831.81,19.8,0.513,0.0,0.717,5275.84,5402.92,0.0,7212.3,9211.8,0.0,4272.873059897754
1731068832.31,20.5,0.466,0.0,1.6,5275.97,5403.11,0.0,7212.4,9211.9,0.0,4272.779237100835
1731068832.81,19.8,0.448,0.0,1.3,5276.1,5403.3,0.0,7212.5,9212.0,0.0,4272.68541435009
1731068833.31,19.8,0.601,0.0,3.32,5276.23,5403.49,0.0,7212.6,9212.1,0.0,4272.5915916455215
1731068833.81,20.5,0.574,0.0,2.31,5276.36,5403.68,0.0,7212.7,9212.2,0.0,4272.49776898713
1731068834.31,19.8,0.507,0.0,0.828,5276.49,5403.87,0.0,7212.8,9212.3,0.0,4272.403946374921
1731068834.81,19.8,0.585,0.0,1.17,5276.62,5404.06,0.0,7212.9,9212.4,0.0,4272.310123808897
1731068835.31,19.8,0.792,0.0,1.09,5276.75,5404.25,0.0,7213.0,9212.5,0.0,4272.216301289062
1731068835.81,20.5,0.552,0.0,1.34,5276.88,5404.44,0.0,7213.1,9212.6,0.0,4272.1224788154195
1731068836.31,19.8,0.574,0.0,0.962,5277.01,5404.63,0.0,7213.2,9212.7,0.0,4272.02865638797
1731068836.81,19.8,0.669,0.0,0.873,5277.14,5404.82,0.0,7213.3,9212.8,0.0,4271.934834006717
1731068837.31,19.9,0.668,0.0,1.02,5277.27,5405.01,0.0,7213.4,9212.9,0.0,4271.841011671665
1731068837.81,20.5,0.604,0.0,1.41,5277.4,5405.2,0.0,7213.5,9213.0,0.0,4271.747189382818
1731068838.31,19.9,0.763,0.0,0.817,5277.53,5405.39,0.0,7213.6,9213.1,0.0,4271.653367140176
1731068838.81,19.8,0.711,0.0,0.917,5277.66,5405.58,0.0,7213.7,9213.2,0.0,4271.559544943744
1731068839.31,19.8,0.753,0.0,3.05,5277.79,5405.77,0.0,7213.8,9213.3,0.0,4271.465722793523
1731068839.81,20.5,0.818,0.0,0.861,5277.92,5405.96,0.0,7213.9,9213.4,0.0,4271.371900689519
1731068840.31,19.9,0.809,0.0,1.04,5278.05,5406.15,0.0,7214.0,9213.5,0.0,4271.278078631734
1731068840.81,19.8,0.628,0.0,1.36,5278.18,5406.34,0.0,7214.1,9213.6,0.0,4271.18425662017
1731068841.31,19.8,0.537,0.0,0.786,5278.31,5406.53,0.0,7214.2,9213.7,0.0,4271.090434654832
1731068841.81,20.5,0.612,0.0,1.0,5278.44,5406.72,0.0,7214.3,9213.8,0.0,4270.99661273572
1731068842.31,19.9,0.583,0.0,1.42,5278.57,5406.91,0.0,7214.4,9213.9,0.0,4270.90279086284
1731068842.81,19.8,0.585,0.0,0.861,5278.7,5407.1,0.0,7214.5,9214.0,0.0,4270.808969036194
1731068843.31,19.8,0.675,0.0,0.863,5278.83,5407.29,0.0,7214.6,9214.1,0.0,4270.715147255785
1731068843.81,19.8,0.826,0.0,1.05,5278.96,5407.48,0.0,7214.7,9214.2,0.0,4270.621325521616
1731068844.31,20.5,0.918,0.0,1.31,5279.09,5407.67,0.0,7214.8,9214.3,0.0,4270.527503833689
1731068844.81,19.8,0.8,0.0,7.27,5279.22,5407.86,0.0,7214.9,9214.4,0.0,4270.433682192009
1731068845.31,19.9,0.747,0.0,0.928,5279.35,5408.05,0.0,7215.0,9214.5,0.0,4270.339860596578
1731068845.81,19.9,0.85,0.0,0.779,5279.48,5408.24,0.0,7215.1,9214.6,0.0,4270.2460390474
1731068846.31,20.5,0.815,0.0,0.974,5279.61,5408.43,0.0,7215.2,9214.7,0.0,4270.152217544475
1731068846.81,19.8,0.927,0.0,1.13,5279.74,5408.62,0.0,7215.3,9214.8,0.0,4270.058396087809
1731068847.31,19.8,0.866,0.0,0.881,5279.87,5408.81,0.0,7215.4,9214.9,0.0,4269.964574677405
1731068847.81,20.5,0.871,0.0,0.857,5280.0,5409.0,0.0,7215.5,9215.0,0.0,4269.8707533132665
1731068848.31,19.9,0.913,0.0,1.47,5280.13,5409.19,0.0,7215.6,9215.1,0.0,4269.776931995395
1731068848.81,19.8,0.944,0.0,1.07,5280.26,5409.38,0.0,7215.7,9215.2,0.0,4269.683110723793
1731068849.31,19.8,0.714,0.0,0.871,5280.39,5409.57,0.0,7215.8,9215.3,0.0,4269.589289498464
1731068849.81,19.9,0.365,0.0,0.894,5280.52,5409.76,0.0,7215.9,9215.4,0.0,4269.495468319412
1731068850.31,20.5,0.366,0.0,1.63,5280.65,5409.95,0.0,7216.0,9215.5,0.0,4269.401647186641
1731068850.81,19.9,0.641,0.0,2.31,5280.78,5410.14,0.0,7216.1,9215.6,0.0,4269.307826100152
1731068851.31,19.8,0.497,0.0,0.85,5280.91,5410.33,0.0,7216.2,9215.7,0.0,4269.214005059949
1731068851.81,20.5,0.484,0.0,0.972,5281.04,5410.52,0.0,7216.3,9215.8,0.0,4269.120184066032
1731068852.31,19.2,0.509,0.032,1.45,5281.17,5410.71,0.0,7216.4,9215.9,0.0,4269.02636311841
1731068852.81,19.8,0.436,0.0,1.235,5281.3,5410.9,0.0,7216.5,9216.0,0.0,4268.932542217082
1731068853.31,19.8,0.424,0.0,1.02,5281.43,5411.09,0.0,7216.6,9216.1,0.0,4268.838721362053
1731068853.81,19.8,0.429,0.0,1.29,5281.56,5411.28,0.0,7216.7,9216.2,0.0,4268.7449005533235
1731068854.31,20.5,0.594,0.0,0.892,5281.69,5411.47,0.0,7216.8,9216.3,0.0,4268.651079790898
1731068854.81,19.8,0.552,0.0,1.12,5281.82,5411.66,0.0,7216.9,9216.4,0.0,4268.557259074781
1731068855.31,19.8,0.552,0.0,0.737,5281.95,5411.85,0.0,7217.0,9216.5,0.0,4268.463438404972
1731068855.81,20.5,0.757,0.0,0.729,5282.08,5412.04,0.0,7217.1,9216.6,0.0,4268.369617781478
1731068856.31,19.8,0.591,0.0,0.73,5282.21,5412.23,0.0,7217.2,9216.7,0.0,4268.275797204301
1731068856.81,19.8,0.543,0.0,1.03,5282.34,5412.42,0.0,7217.3,9216.8,0.0,4268.18197667344
1731068857.31,19.9,0.578,0.0,1.34,5282.47,5412.61,0.0,7217.4,9216.9,0.0,4268.088156188904
1731068857.81,20.5,0.533,0.0,1.01,5282.6,5412.8,0.0,7217.5,9217.0,0.0,4267.994335750693
1731068858.31,19.8,0.556,0.0,6.29,5282.73,5412.99,0.0,7217.6,9217.1,0.0,4267.900515358811
1731068858.81,19.9,0.602,0.0,0.869,5282.86,5413.18,0.0,7217.7,9217.2,0.0,4267.80669501326
1731068859.31,19.9,0.69,0.0,0.947,5282.99,5413.37,0.0,7217.8,9217.3,0.0,4267.712874714042
1731068859.81,19.8,0.692,0.031,2.54,5283.12,5413.56,0.0,7217.9,9217.4,0.0,4267.619054461164
1731068860.31,19.8,0.813,0.0,1.03,5283.25,5413.75,0.0,7218.0,9217.5,0.0,4267.5252342546255
1731068860.81,19.8,0.746,0.0,0.848,5283.38,5413.94,0.0,7218.1,9217.6,0.0,4267.4314140944325
1731068861.31,19.8,0.855,0.0,0.992,5283.51,5414.13,0.0,7218.2,9217.7,0.0,4267.337593980585
1731068861.81,20.5,0.899,0.0,1.23,5283.64,5414.32,0.0,7218.3,9217.8,0.0,4267.2437739130855
1731068862.31,19.8,0.702,0.0,0.88,5283.77,5414.51,0.0,7218.4,9217.9,0.0,4267.149953891941
1731068862.81,19.8,0.527,0.0,0.808,5283.9,5414.7,0.0,7218.5,9218.0,0.0,4267.056133917153
1731068863.31,19.8,0.638,0.0,1.04,5284.03,5414.89,0.0,7218.6,9218.1,0.0,4266.9623139887235
1731068863.81,19.9,0.686,0.0,1.38,5284.16,5415.08,0.0,7218.7,9218.2,0.0,4266.868494106657
1731068864.31,20.5,0.57,0.0,0.99,5284.29,5415.27,0.0,7218.8,9218.3,0.0,4266.774674270952
1731068864.81,19.8,0.635,0.0,1.14,5284.42,5415.46,0.0,7218.9,9218.4,0.0,4266.680854481619
1731068865.31,19.2,0.78,0.032,0.706,5284.55,5415.65,0.0,7219.0,9218.5,0.0,4266.587034738656
1731068865.81,19.9,0.722,0.0,0.938,5284.68,5415.84,0.0,7219.1,9218.6,0.0,4266.493215042068
1731068866.31,20.5,0.714,0.0,1.17,5284.81,5416.03,0.0,7219.2,9218.7,0.0,4266.399395391857
1731068866.81,19.8,0.764,0.0,1.22,5284.94,5416.22,0.0,7219.3,9218.8,0.0,4266.305575788026
1731068867.31,19.8,0.746,0.0,0.834,5285.07,5416.41,0.0,7219.4,9218.9,0.0,4266.211756230578
1731068867.81,20.5,0.877,0.0,1.0,5285.2,5416.6,0.0,7219.5,9219.0,0.0,4266.117936719518
1731068868.31,19.8,0.776,0.0,1.31,5285.33,5416.79,0.0,7219.6,9219.1,0.0,4266.024117254848
1731068868.81,19.8,0.924,0.0,0.829,5285.46,5416.98,0.0,7219.7,9219.2,0.0,4265.93029783657
1731068869.31,19.9,1.019,0.0,1.03,5285.59,5417.17,0.0,7219.8,9219.3,0.0,4265.8364784646865
1731068869.81,20.5,0.902,0.0,2.91,5285.72,5417.36,0.0,7219.9,9219.4,0.0,4265.742659139203
1731068870.31,19.9,1.106,0.0,1.13,5285.85,5417.55,0.0,7220.0,9219.5,0.0,4265.648839860121
1731068870.81,19.8,0.66,0.0,0.97,5285.98,5417.74,0.0,7220.1,9219.6,0.0,4265.555020627446
1731068871.31,19.9,0.364,0.0,0.896,5286.11,5417.93,0.0,7220.2,9219.7,0.0,4265.461201441176
1731068871.81,19.8,0.486,0.0,1.02,5286.24,5418.12,0.0,7220.3,9219.8,0.0,4265.367382301318
1731068872.31,20.5,0.401,0.0,1.46,5286.37,5418.31,0.0,7220.4,9219.9,0.0,4265.273563207874
1731068872.81,19.8,0.513,0.0,0.844,5286.5,5418.5,0.0,7220.5,9220.0,0.0,4265.179744160849
1731068873.31,19.9,0.487,0.0,1.07,5286.63,5418.69,0.0,7220.6,9220.1,0.0,4265.085925160243
1731068873.81,20.5,0.479,0.0,0.831,5286.76,5418.88,0.0,7220.7,9220.2,0.0,4264.99210620606
1731068874.31,19.8,0.55,0.0,0.829,5286.89,5419.07,0.0,7220.8,9220.3,0.0,4264.898287298302
