1731067770.469980967: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067858.145471898: 64 bytes from 192.168.6.12: icmp_seq=176 ttl=63 time=1.97 ms
1731067858.651298598: 64 bytes from 192.168.6.12: icmp_seq=177 ttl=63 time=7.13 ms
1731067859.147161579: 64 bytes from 192.168.6.12: icmp_seq=178 ttl=63 time=2.90 ms
1731067859.646822583: 64 bytes from 192.168.6.12: icmp_seq=179 ttl=63 time=1.59 ms
1731067860.148645880: 64 bytes from 192.168.6.12: icmp_seq=180 ttl=63 time=2.91 ms
1731067860.647668230: 64 bytes from 192.168.6.12: icmp_seq=181 ttl=63 time=1.50 ms
1731067861.148923346: 64 bytes from 192.168.6.12: icmp_seq=182 ttl=63 time=1.89 ms
1731067861.649723112: 64 bytes from 192.168.6.12: icmp_seq=183 ttl=63 time=2.50 ms
1731067862.150533413: 64 bytes from 192.168.6.12: icmp_seq=184 ttl=63 time=1.57 ms
1731067862.652379959: 64 bytes from 192.168.6.12: icmp_seq=185 ttl=63 time=2.31 ms
1731067863.154473379: 64 bytes from 192.168.6.12: icmp_seq=186 ttl=63 time=3.66 ms
1731067863.654275654: 64 bytes from 192.168.6.12: icmp_seq=187 ttl=63 time=1.95 ms
1731067864.154771746: 64 bytes from 192.168.6.12: icmp_seq=188 ttl=63 time=2.15 ms
1731067864.654969147: 64 bytes from 192.168.6.12: icmp_seq=189 ttl=63 time=2.13 ms
1731067865.156693185: 64 bytes from 192.168.6.12: icmp_seq=190 ttl=63 time=2.44 ms
1731067865.656771662: 64 bytes from 192.168.6.12: icmp_seq=191 ttl=63 time=1.97 ms
1731067866.156668961: 64 bytes from 192.168.6.12: icmp_seq=192 ttl=63 time=1.49 ms
1731067866.658953855: 64 bytes from 192.168.6.12: icmp_seq=193 ttl=63 time=2.17 ms
1731067867.159839016: 64 bytes from 192.168.6.12: icmp_seq=194 ttl=63 time=2.51 ms
1731067867.661616428: 64 bytes from 192.168.6.12: icmp_seq=195 ttl=63 time=3.29 ms
1731067868.161114573: 64 bytes from 192.168.6.12: icmp_seq=196 ttl=63 time=1.61 ms
1731067868.661712482: 64 bytes from 192.168.6.12: icmp_seq=197 ttl=63 time=2.03 ms
1731067869.163667457: 64 bytes from 192.168.6.12: icmp_seq=198 ttl=63 time=2.78 ms
1731067869.663938821: 64 bytes from 192.168.6.12: icmp_seq=199 ttl=63 time=1.72 ms
1731067870.164916137: 64 bytes from 192.168.6.12: icmp_seq=200 ttl=63 time=2.13 ms
1731067870.666113893: 64 bytes from 192.168.6.12: icmp_seq=201 ttl=63 time=2.35 ms
1731067871.166057501: 64 bytes from 192.168.6.12: icmp_seq=202 ttl=63 time=1.74 ms
1731067871.667713093: 64 bytes from 192.168.6.12: icmp_seq=203 ttl=63 time=2.24 ms
1731067872.167998822: 64 bytes from 192.168.6.12: icmp_seq=204 ttl=63 time=1.64 ms
1731067872.674616368: 64 bytes from 192.168.6.12: icmp_seq=205 ttl=63 time=7.87 ms
1731067873.171265824: 64 bytes from 192.168.6.12: icmp_seq=206 ttl=63 time=2.51 ms
1731067873.671624380: 64 bytes from 192.168.6.12: icmp_seq=207 ttl=63 time=1.38 ms
1731067874.173535076: 64 bytes from 192.168.6.12: icmp_seq=208 ttl=63 time=2.01 ms
1731067874.673803033: 64 bytes from 192.168.6.12: icmp_seq=209 ttl=63 time=1.93 ms
1731067875.174352105: 64 bytes from 192.168.6.12: icmp_seq=210 ttl=63 time=2.20 ms
1731067875.675831727: 64 bytes from 192.168.6.12: icmp_seq=211 ttl=63 time=2.30 ms
1731067876.175928824: 64 bytes from 192.168.6.12: icmp_seq=212 ttl=63 time=1.58 ms
1731067876.676862831: 64 bytes from 192.168.6.12: icmp_seq=213 ttl=63 time=2.02 ms
1731067877.181791711: 64 bytes from 192.168.6.12: icmp_seq=214 ttl=63 time=6.93 ms
1731067877.677673398: 64 bytes from 192.168.6.12: icmp_seq=215 ttl=63 time=1.59 ms
1731067878.179061063: 64 bytes from 192.168.6.12: icmp_seq=216 ttl=63 time=2.11 ms
1731067878.679385335: 64 bytes from 192.168.6.12: icmp_seq=217 ttl=63 time=1.53 ms
1731067879.180185737: 64 bytes from 192.168.6.12: icmp_seq=218 ttl=63 time=1.55 ms
1731067879.681922876: 64 bytes from 192.168.6.12: icmp_seq=219 ttl=63 time=2.00 ms
