Time,F2_X,F2_Y,F2_Z
1731069944.28,6933.9,10150.85,0.0
1731069944.78,6934.0,10151.0,0.0
1731069945.28,6934.1,10151.15,0.0
1731069945.78,6934.2,10151.3,0.0
1731069946.28,6934.3,10151.45,0.0
1731069946.78,6934.4,10151.6,0.0
1731069947.28,6934.5,10151.75,0.0
1731069947.78,6934.6,10151.9,0.0
1731069948.28,6934.7,10152.05,0.0
1731069948.78,6934.8,10152.2,0.0
1731069949.28,6934.9,10152.35,0.0
1731069949.78,6935.0,10152.5,0.0
1731069950.28,6935.1,10152.65,0.0
1731069950.78,6935.2,10152.8,0.0
1731069951.28,6935.3,10152.95,0.0
1731069951.78,6935.4,10153.1,0.0
1731069952.28,6935.5,10153.25,0.0
1731069952.78,6935.6,10153.4,0.0
1731069953.28,6935.7,10153.55,0.0
1731069953.78,6935.8,10153.7,0.0
1731069954.28,6935.9,10153.85,0.0
1731069954.78,6936.0,10154.0,0.0
1731069955.28,6936.1,10154.15,0.0
1731069955.78,6936.2,10154.3,0.0
1731069956.29,6936.3,10154.45,0.0
1731069956.79,6936.4,10154.6,0.0
1731069957.29,6936.5,10154.75,0.0
1731069957.79,6936.6,10154.9,0.0
1731069958.29,6936.7,10155.05,0.0
1731069958.79,6936.8,10155.2,0.0
1731069959.29,6936.9,10155.35,0.0
1731069959.79,6937.0,10155.5,0.0
1731069960.29,6937.1,10155.65,0.0
1731069960.79,6937.2,10155.8,0.0
1731069961.29,6937.3,10155.95,0.0
1731069961.79,6937.4,10156.1,0.0
1731069962.29,6937.5,10156.25,0.0
1731069962.79,6937.6,10156.4,0.0
1731069963.29,6937.7,10156.55,0.0
1731069963.79,6937.8,10156.7,0.0
1731069964.3,6937.9,10156.85,0.0
1731069964.8,6938.0,10157.0,0.0
1731069965.3,6938.1,10157.15,0.0
1731069965.8,6938.2,10157.3,0.0
1731069966.3,6938.3,10157.45,0.0
1731069966.8,6938.4,10157.6,0.0
1731069967.3,6938.5,10157.75,0.0
1731069967.8,6938.6,10157.9,0.0
1731069968.3,6938.7,10158.05,0.0
1731069968.8,6938.8,10158.2,0.0
1731069969.3,6938.9,10158.35,0.0
1731069969.8,6939.0,10158.5,0.0
1731069970.3,6939.1,10158.65,0.0
1731069970.8,6939.2,10158.8,0.0
1731069971.3,6939.3,10158.95,0.0
1731069971.8,6939.4,10159.1,0.0
1731069972.3,6939.5,10159.25,0.0
1731069972.8,6939.6,10159.4,0.0
1731069973.3,6939.7,10159.55,0.0
1731069973.8,6939.8,10159.7,0.0
1731069974.3,6939.9,10159.85,0.0
1731069974.8,6940.0,10160.0,0.0
1731069975.37,6940.1,10160.15,0.0
1731069975.81,6940.2,10160.3,0.0
1731069976.31,6940.3,10160.45,0.0
1731069976.81,6940.4,10160.6,0.0
1731069977.31,6940.5,10160.75,0.0
1731069977.81,6940.6,10160.9,0.0
1731069978.31,6940.7,10161.05,0.0
1731069978.81,6940.8,10161.2,0.0
1731069979.31,6940.9,10161.35,0.0
1731069979.81,6941.0,10161.5,0.0
1731069980.31,6941.1,10161.65,0.0
1731069980.81,6941.2,10161.8,0.0
1731069981.31,6941.3,10161.95,0.0
1731069981.82,6941.4,10162.1,0.0
1731069982.32,6941.5,10162.25,0.0
1731069982.82,6941.6,10162.4,0.0
1731069983.32,6941.7,10162.55,0.0
1731069983.82,6941.8,10162.7,0.0
1731069984.32,6941.9,10162.85,0.0
1731069984.82,6942.0,10163.0,0.0
1731069985.32,6942.1,10163.15,0.0
1731069985.82,6942.2,10163.3,0.0
1731069986.32,6942.3,10163.45,0.0
1731069986.82,6942.4,10163.6,0.0
1731069987.32,6942.5,10163.75,0.0
1731069987.82,6942.6,10163.9,0.0
1731069988.32,6942.7,10164.05,0.0
1731069988.82,6942.8,10164.2,0.0
1731069989.32,6942.9,10164.35,0.0
1731069989.82,6943.0,10164.5,0.0
1731069990.33,6943.1,10164.65,0.0
1731069990.82,6943.2,10164.8,0.0
1731069991.32,6943.3,10164.95,0.0
1731069991.83,6943.4,10165.1,0.0
1731069992.33,6943.5,10165.25,0.0
1731069992.83,6943.6,10165.4,0.0
1731069993.33,6943.7,10165.55,0.0
1731069993.83,6943.8,10165.7,0.0
1731069994.33,6943.9,10165.85,0.0
1731069994.83,6944.0,10166.0,0.0
1731069995.33,6944.1,10166.15,0.0
1731069995.83,6944.2,10166.3,0.0
1731069996.33,6944.3,10166.45,0.0
1731069996.83,6944.4,10166.6,0.0
1731069997.33,6944.5,10166.75,0.0
1731069997.83,6944.6,10166.9,0.0
1731069998.33,6944.7,10167.05,0.0
1731069998.83,6944.8,10167.2,0.0
1731069999.33,6944.9,10167.35,0.0
1731069999.83,6945.0,10167.5,0.0
1731070000.33,6945.1,10167.65,0.0
1731070000.83,6945.2,10167.8,0.0
1731070001.33,6945.3,10167.95,0.0
1731070001.84,6945.4,10168.1,0.0
1731070002.34,6945.5,10168.25,0.0
1731070002.84,6945.6,10168.4,0.0
1731070003.34,6945.7,10168.55,0.0
1731070003.84,6945.8,10168.7,0.0
1731070004.34,6945.9,10168.85,0.0
1731070004.84,6946.0,10169.0,0.0
1731070005.34,6946.1,10169.15,0.0
1731070005.84,6946.2,10169.3,0.0
1731070006.34,6946.3,10169.45,0.0
1731070006.84,6946.4,10169.6,0.0
1731070007.34,6946.5,10169.75,0.0
1731070007.84,6946.6,10169.9,0.0
1731070008.34,6946.7,10170.05,0.0
1731070008.84,6946.8,10170.2,0.0
1731070009.34,6946.9,10170.35,0.0
1731070009.85,6947.0,10170.5,0.0
1731070010.35,6947.1,10170.65,0.0
1731070010.85,6947.2,10170.8,0.0
1731070011.35,6947.3,10170.95,0.0
1731070011.85,6947.4,10171.1,0.0
1731070012.35,6947.5,10171.25,0.0
1731070012.85,6947.6,10171.4,0.0
1731070013.35,6947.7,10171.55,0.0
1731070013.85,6947.8,10171.7,0.0
1731070014.35,6947.9,10171.85,0.0
1731070014.85,6948.0,10172.0,0.0
1731070015.35,6948.1,10172.15,0.0
1731070015.85,6948.2,10172.3,0.0
1731070016.35,6948.3,10172.45,0.0
1731070016.85,6948.4,10172.6,0.0
1731070017.35,6948.5,10172.75,0.0
1731070017.85,6948.6,10172.9,0.0
1731070018.35,6948.7,10173.05,0.0
1731070018.86,6948.8,10173.2,0.0
1731070019.36,6948.9,10173.35,0.0
1731070019.86,6949.0,10173.5,0.0
1731070020.36,6949.1,10173.65,0.0
1731070020.86,6949.2,10173.8,0.0
1731070021.36,6949.3,10173.95,0.0
1731070021.86,6949.4,10174.1,0.0
1731070022.36,6949.5,10174.25,0.0
1731070022.86,6949.6,10174.4,0.0
1731070023.36,6949.7,10174.55,0.0
1731070023.86,6949.8,10174.7,0.0
1731070024.36,6949.9,10174.85,0.0
1731070024.86,6950.0,10175.0,0.0
1731070025.36,6950.1,10175.15,0.0
1731070025.86,6950.2,10175.3,0.0
1731070026.36,6950.3,10175.45,0.0
1731070026.86,6950.4,10175.6,0.0
1731070027.36,6950.5,10175.75,0.0
1731070027.86,6950.6,10175.9,0.0
1731070028.37,6950.7,10176.05,0.0
1731070028.87,6950.8,10176.2,0.0
1731070029.37,6950.9,10176.35,0.0
1731070029.87,6951.0,10176.5,0.0
1731070030.37,6951.1,10176.65,0.0
1731070030.87,6951.2,10176.8,0.0
1731070031.37,6951.3,10176.95,0.0
1731070031.87,6951.4,10177.1,0.0
1731070032.37,6951.5,10177.25,0.0
1731070032.87,6951.6,10177.4,0.0
1731070033.37,6951.7,10177.55,0.0
1731070033.87,6951.8,10177.7,0.0
1731070034.37,6951.9,10177.85,0.0
