1731067770.372035904: PING 192.168.6.21 (192.168.6.21) 56(84) bytes of data.
1731067813.957022896: 64 bytes from 192.168.6.21: icmp_seq=88 ttl=63 time=2.95 ms
1731067814.456498240: 64 bytes from 192.168.6.21: icmp_seq=89 ttl=63 time=1.97 ms
1731067814.956887253: 64 bytes from 192.168.6.21: icmp_seq=90 ttl=63 time=1.76 ms
1731067815.457710914: 64 bytes from 192.168.6.21: icmp_seq=91 ttl=63 time=2.01 ms
1731067815.957916515: 64 bytes from 192.168.6.21: icmp_seq=92 ttl=63 time=1.68 ms
1731067816.461149259: 64 bytes from 192.168.6.21: icmp_seq=93 ttl=63 time=3.57 ms
1731067816.960465385: 64 bytes from 192.168.6.21: icmp_seq=94 ttl=63 time=1.87 ms
1731067817.462244332: 64 bytes from 192.168.6.21: icmp_seq=95 ttl=63 time=2.02 ms
1731067817.963610249: 64 bytes from 192.168.6.21: icmp_seq=96 ttl=63 time=2.68 ms
1731067818.463688584: 64 bytes from 192.168.6.21: icmp_seq=97 ttl=63 time=1.75 ms
1731067818.966449159: 64 bytes from 192.168.6.21: icmp_seq=98 ttl=63 time=3.02 ms
1731067819.467616817: 64 bytes from 192.168.6.21: icmp_seq=99 ttl=63 time=3.37 ms
1731067819.966345413: 64 bytes from 192.168.6.21: icmp_seq=100 ttl=63 time=2.20 ms
1731067820.469143174: 64 bytes from 192.168.6.21: icmp_seq=101 ttl=63 time=3.62 ms
1731067820.969646332: 64 bytes from 192.168.6.21: icmp_seq=102 ttl=63 time=2.31 ms
1731067821.477395168: 64 bytes from 192.168.6.21: icmp_seq=103 ttl=63 time=9.64 ms
1731067821.972532057: 64 bytes from 192.168.6.21: icmp_seq=104 ttl=63 time=3.18 ms
1731067822.472014247: 64 bytes from 192.168.6.21: icmp_seq=105 ttl=63 time=2.06 ms
1731067822.972160770: 64 bytes from 192.168.6.21: icmp_seq=106 ttl=63 time=2.04 ms
1731067823.472049550: 64 bytes from 192.168.6.21: icmp_seq=107 ttl=63 time=1.62 ms
1731067823.973936752: 64 bytes from 192.168.6.21: icmp_seq=108 ttl=63 time=2.21 ms
1731067824.474623076: 64 bytes from 192.168.6.21: icmp_seq=109 ttl=63 time=2.18 ms
1731067824.975585582: 64 bytes from 192.168.6.21: icmp_seq=110 ttl=63 time=1.70 ms
1731067825.476783083: 64 bytes from 192.168.6.21: icmp_seq=111 ttl=63 time=2.16 ms
1731067825.982179859: 64 bytes from 192.168.6.21: icmp_seq=112 ttl=63 time=6.34 ms
1731067826.478777112: 64 bytes from 192.168.6.21: icmp_seq=113 ttl=63 time=1.72 ms
1731067826.980818750: 64 bytes from 192.168.6.21: icmp_seq=114 ttl=63 time=2.43 ms
1731067827.481441204: 64 bytes from 192.168.6.21: icmp_seq=115 ttl=63 time=1.98 ms
1731067827.981596288: 64 bytes from 192.168.6.21: icmp_seq=116 ttl=63 time=1.57 ms
1731067828.483233100: 64 bytes from 192.168.6.21: icmp_seq=117 ttl=63 time=2.30 ms
1731067828.983945383: 64 bytes from 192.168.6.21: icmp_seq=118 ttl=63 time=1.72 ms
1731067829.484632588: 64 bytes from 192.168.6.21: icmp_seq=119 ttl=63 time=1.56 ms
1731067829.986647746: 64 bytes from 192.168.6.21: icmp_seq=120 ttl=63 time=2.69 ms
1731067830.493498528: 64 bytes from 192.168.6.21: icmp_seq=121 ttl=63 time=8.09 ms
1731067830.987668436: 64 bytes from 192.168.6.21: icmp_seq=122 ttl=63 time=1.62 ms
1731067831.489426901: 64 bytes from 192.168.6.21: icmp_seq=123 ttl=63 time=1.87 ms
1731067831.989564699: 64 bytes from 192.168.6.21: icmp_seq=124 ttl=63 time=1.85 ms
1731067832.491600829: 64 bytes from 192.168.6.21: icmp_seq=125 ttl=63 time=2.36 ms
1731067832.992198916: 64 bytes from 192.168.6.21: icmp_seq=126 ttl=63 time=1.57 ms
1731067833.493951888: 64 bytes from 192.168.6.21: icmp_seq=127 ttl=63 time=2.07 ms
1731067833.995149632: 64 bytes from 192.168.6.21: icmp_seq=128 ttl=63 time=2.41 ms
1731067834.495589684: 64 bytes from 192.168.6.21: icmp_seq=129 ttl=63 time=1.77 ms
1731067834.996991242: 64 bytes from 192.168.6.21: icmp_seq=130 ttl=63 time=2.12 ms
1731067835.502578414: 64 bytes from 192.168.6.21: icmp_seq=131 ttl=63 time=7.06 ms
1731067835.997220008: 64 bytes from 192.168.6.21: icmp_seq=132 ttl=63 time=1.54 ms
1731067836.499349924: 64 bytes from 192.168.6.21: icmp_seq=133 ttl=63 time=2.40 ms
1731067836.999829248: 64 bytes from 192.168.6.21: icmp_seq=134 ttl=63 time=1.63 ms
1731067837.501628888: 64 bytes from 192.168.6.21: icmp_seq=135 ttl=63 time=2.47 ms
1731067838.002470856: 64 bytes from 192.168.6.21: icmp_seq=136 ttl=63 time=2.13 ms
1731067838.502267796: 64 bytes from 192.168.6.21: icmp_seq=137 ttl=63 time=2.08 ms
1731067839.004344693: 64 bytes from 192.168.6.21: icmp_seq=138 ttl=63 time=3.04 ms
1731067839.502531020: 64 bytes from 192.168.6.21: icmp_seq=139 ttl=63 time=1.75 ms
1731067840.013772915: 64 bytes from 192.168.6.21: icmp_seq=140 ttl=63 time=11.2 ms
