['time', 'x', 'y', 'z']
['1731067933.54', '6532.5', '9548.75', '0.0']
['1731067934.04', '6532.6', '9548.9', '0.0']
['1731067934.54', '6532.7', '9549.05', '0.0']
['1731067935.04', '6532.8', '9549.2', '0.0']
['1731067935.54', '6532.9', '9549.35', '0.0']
['1731067936.04', '6533.0', '9549.5', '0.0']
['1731067936.54', '6533.1', '9549.65', '0.0']
['1731067937.04', '6533.2', '9549.8', '0.0']
['1731067937.54', '6533.3', '9549.95', '0.0']
['1731067938.04', '6533.4', '9550.1', '0.0']
['1731067938.54', '6533.5', '9550.25', '0.0']
['1731067939.05', '6533.6', '9550.4', '0.0']
['1731067939.55', '6533.7', '9550.55', '0.0']
['1731067940.05', '6533.8', '9550.7', '0.0']
['1731067940.55', '6533.9', '9550.85', '0.0']
['1731067941.05', '6534.0', '9551.0', '0.0']
['1731067941.55', '6534.1', '9551.15', '0.0']
['1731067942.05', '6534.2', '9551.3', '0.0']
['1731067942.55', '6534.3', '9551.45', '0.0']
['1731067943.05', '6534.4', '9551.6', '0.0']
['1731067943.55', '6534.5', '9551.75', '0.0']
['1731067944.05', '6534.6', '9551.9', '0.0']
['1731067944.55', '6534.7', '9552.05', '0.0']
['1731067945.05', '6534.8', '9552.2', '0.0']
['1731067945.55', '6534.9', '9552.35', '0.0']
['1731067946.05', '6535.0', '9552.5', '0.0']
['1731067946.55', '6535.1', '9552.65', '0.0']
['1731067947.05', '6535.2', '9552.8', '0.0']
['1731067947.55', '6535.3', '9552.95', '0.0']
['1731067948.05', '6535.4', '9553.1', '0.0']
['1731067948.56', '6535.5', '9553.25', '0.0']
['1731067949.06', '6535.6', '9553.4', '0.0']
['1731067949.56', '6535.7', '9553.55', '0.0']
['1731067950.06', '6535.8', '9553.7', '0.0']
['1731067950.56', '6535.9', '9553.85', '0.0']
['1731067951.06', '6536.0', '9554.0', '0.0']
['1731067951.56', '6536.1', '9554.15', '0.0']
['1731067952.06', '6536.2', '9554.3', '0.0']
