1731067770.230885577: PING 192.168.6.12 (192.168.6.12) 56(84) bytes of data.
1731067795.799763148: 64 bytes from 192.168.6.12: icmp_seq=52 ttl=64 time=0.785 ms
1731067796.301246536: 64 bytes from 192.168.6.12: icmp_seq=53 ttl=64 time=0.818 ms
1731067796.802189516: 64 bytes from 192.168.6.12: icmp_seq=54 ttl=64 time=0.905 ms
1731067797.309585751: 64 bytes from 192.168.6.12: icmp_seq=55 ttl=64 time=7.66 ms
1731067797.803567093: 64 bytes from 192.168.6.12: icmp_seq=56 ttl=64 time=0.773 ms
1731067798.305066014: 64 bytes from 192.168.6.12: icmp_seq=57 ttl=64 time=0.827 ms
1731067798.805631527: 64 bytes from 192.168.6.12: icmp_seq=58 ttl=64 time=1.08 ms
1731067799.307069436: 64 bytes from 192.168.6.12: icmp_seq=59 ttl=64 time=1.34 ms
1731067799.807765657: 64 bytes from 192.168.6.12: icmp_seq=60 ttl=64 time=0.814 ms
1731067800.314251896: 64 bytes from 192.168.6.12: icmp_seq=61 ttl=64 time=1.25 ms
1731067800.815280418: 64 bytes from 192.168.6.12: icmp_seq=62 ttl=64 time=0.848 ms
1731067801.315674000: 64 bytes from 192.168.6.12: icmp_seq=63 ttl=64 time=0.848 ms
1731067801.818922108: 64 bytes from 192.168.6.12: icmp_seq=64 ttl=64 time=1.34 ms
1731067802.324404077: 64 bytes from 192.168.6.12: icmp_seq=65 ttl=64 time=6.29 ms
1731067802.821374249: 64 bytes from 192.168.6.12: icmp_seq=66 ttl=64 time=0.968 ms
1731067803.322177472: 64 bytes from 192.168.6.12: icmp_seq=67 ttl=64 time=1.06 ms
1731067803.823262170: 64 bytes from 192.168.6.12: icmp_seq=68 ttl=64 time=0.923 ms
1731067804.324052785: 64 bytes from 192.168.6.12: icmp_seq=69 ttl=64 time=0.998 ms
1731067804.825297432: 64 bytes from 192.168.6.12: icmp_seq=70 ttl=64 time=1.08 ms
1731067805.326125661: 64 bytes from 192.168.6.12: icmp_seq=71 ttl=64 time=1.21 ms
1731067805.827694697: 64 bytes from 192.168.6.12: icmp_seq=72 ttl=64 time=1.08 ms
1731067806.328393588: 64 bytes from 192.168.6.12: icmp_seq=73 ttl=64 time=0.809 ms
1731067806.842820109: 64 bytes from 192.168.6.12: icmp_seq=74 ttl=64 time=1.18 ms
1731067807.345137986: 64 bytes from 192.168.6.12: icmp_seq=75 ttl=64 time=2.28 ms
1731067807.845409396: 64 bytes from 192.168.6.12: icmp_seq=76 ttl=64 time=0.983 ms
1731067808.345728954: 64 bytes from 192.168.6.12: icmp_seq=77 ttl=64 time=0.875 ms
1731067808.846243614: 64 bytes from 192.168.6.12: icmp_seq=78 ttl=64 time=0.871 ms
1731067809.347039987: 64 bytes from 192.168.6.12: icmp_seq=79 ttl=64 time=1.03 ms
1731067809.847555950: 64 bytes from 192.168.6.12: icmp_seq=80 ttl=64 time=0.886 ms
1731067810.349718894: 64 bytes from 192.168.6.12: icmp_seq=81 ttl=64 time=0.843 ms
1731067810.850534963: 64 bytes from 192.168.6.12: icmp_seq=82 ttl=64 time=0.767 ms
1731067811.354817198: 64 bytes from 192.168.6.12: icmp_seq=83 ttl=64 time=1.30 ms
1731067811.855672604: 64 bytes from 192.168.6.12: icmp_seq=84 ttl=64 time=0.876 ms
1731067812.378572250: 64 bytes from 192.168.6.12: icmp_seq=85 ttl=64 time=1.05 ms
1731067812.879470402: 64 bytes from 192.168.6.12: icmp_seq=86 ttl=64 time=1.06 ms
1731067813.386881277: 64 bytes from 192.168.6.12: icmp_seq=87 ttl=64 time=7.54 ms
1731067813.881424614: 64 bytes from 192.168.6.12: icmp_seq=88 ttl=64 time=1.12 ms
1731067814.381319411: 64 bytes from 192.168.6.12: icmp_seq=89 ttl=64 time=0.807 ms
1731067814.906605599: 64 bytes from 192.168.6.12: icmp_seq=90 ttl=64 time=1.37 ms
1731067815.406866815: 64 bytes from 192.168.6.12: icmp_seq=91 ttl=64 time=0.708 ms
1731067815.930327923: 64 bytes from 192.168.6.12: icmp_seq=92 ttl=64 time=1.32 ms
1731067816.430720642: 64 bytes from 192.168.6.12: icmp_seq=93 ttl=64 time=0.794 ms
1731067816.954293442: 64 bytes from 192.168.6.12: icmp_seq=94 ttl=64 time=1.07 ms
1731067817.454776300: 64 bytes from 192.168.6.12: icmp_seq=95 ttl=64 time=0.831 ms
1731067817.978390136: 64 bytes from 192.168.6.12: icmp_seq=96 ttl=64 time=1.07 ms
1731067818.478919745: 64 bytes from 192.168.6.12: icmp_seq=97 ttl=64 time=1.01 ms
1731067818.979406811: 64 bytes from 192.168.6.12: icmp_seq=98 ttl=64 time=0.862 ms
1731067819.482261778: 64 bytes from 192.168.6.12: icmp_seq=99 ttl=64 time=1.09 ms
1731067819.982833034: 64 bytes from 192.168.6.12: icmp_seq=100 ttl=64 time=0.821 ms
1731067820.483607091: 64 bytes from 192.168.6.12: icmp_seq=101 ttl=64 time=0.812 ms
1731067820.984666992: 64 bytes from 192.168.6.12: icmp_seq=102 ttl=64 time=1.02 ms
1731067821.485366845: 64 bytes from 192.168.6.12: icmp_seq=103 ttl=64 time=0.789 ms
1731067822.010830525: 64 bytes from 192.168.6.12: icmp_seq=104 ttl=64 time=1.30 ms
1731067822.511262867: 64 bytes from 192.168.6.12: icmp_seq=105 ttl=64 time=0.794 ms
1731067823.034851441: 64 bytes from 192.168.6.12: icmp_seq=106 ttl=64 time=1.32 ms
1731067823.536051452: 64 bytes from 192.168.6.12: icmp_seq=107 ttl=64 time=0.751 ms
1731067824.060664241: 64 bytes from 192.168.6.12: icmp_seq=108 ttl=64 time=3.25 ms
1731067824.559570791: 64 bytes from 192.168.6.12: icmp_seq=109 ttl=64 time=0.962 ms
1731067825.060290003: 64 bytes from 192.168.6.12: icmp_seq=110 ttl=64 time=2.11 ms
1731067825.560667676: 64 bytes from 192.168.6.12: icmp_seq=111 ttl=64 time=0.757 ms
1731067826.075003670: 64 bytes from 192.168.6.12: icmp_seq=112 ttl=64 time=1.13 ms
1731067826.574809569: 64 bytes from 192.168.6.12: icmp_seq=113 ttl=64 time=0.987 ms
1731067827.075467164: 64 bytes from 192.168.6.12: icmp_seq=114 ttl=64 time=1.07 ms
1731067827.575759039: 64 bytes from 192.168.6.12: icmp_seq=115 ttl=64 time=0.922 ms
1731067828.075797984: 64 bytes from 192.168.6.12: icmp_seq=116 ttl=64 time=0.735 ms
1731067828.602587124: 64 bytes from 192.168.6.12: icmp_seq=117 ttl=64 time=1.29 ms
1731067829.103358134: 64 bytes from 192.168.6.12: icmp_seq=118 ttl=64 time=0.852 ms
1731067829.626850974: 64 bytes from 192.168.6.12: icmp_seq=119 ttl=64 time=1.13 ms
1731067830.126680623: 64 bytes from 192.168.6.12: icmp_seq=120 ttl=64 time=0.906 ms
1731067830.627115822: 64 bytes from 192.168.6.12: icmp_seq=121 ttl=64 time=0.849 ms
1731067831.131302938: 64 bytes from 192.168.6.12: icmp_seq=122 ttl=64 time=1.45 ms
1731067831.630714052: 64 bytes from 192.168.6.12: icmp_seq=123 ttl=64 time=0.887 ms
1731067832.155037514: 64 bytes from 192.168.6.12: icmp_seq=124 ttl=64 time=1.39 ms
1731067832.655543617: 64 bytes from 192.168.6.12: icmp_seq=125 ttl=64 time=0.805 ms
1731067833.178511704: 64 bytes from 192.168.6.12: icmp_seq=126 ttl=64 time=1.11 ms
1731067833.678710382: 64 bytes from 192.168.6.12: icmp_seq=127 ttl=64 time=1.06 ms
1731067834.180105868: 64 bytes from 192.168.6.12: icmp_seq=128 ttl=64 time=1.07 ms
1731067834.685899480: 64 bytes from 192.168.6.12: icmp_seq=129 ttl=64 time=6.82 ms
1731067835.181199144: 64 bytes from 192.168.6.12: icmp_seq=130 ttl=64 time=0.737 ms
1731067835.709049238: 64 bytes from 192.168.6.12: icmp_seq=131 ttl=64 time=4.11 ms
1731067836.206821391: 64 bytes from 192.168.6.12: icmp_seq=132 ttl=64 time=0.843 ms
1731067836.734472123: 64 bytes from 192.168.6.12: icmp_seq=133 ttl=64 time=4.70 ms
1731067837.231490812: 64 bytes from 192.168.6.12: icmp_seq=134 ttl=64 time=0.770 ms
1731067837.757289529: 64 bytes from 192.168.6.12: icmp_seq=135 ttl=64 time=3.92 ms
1731067838.254611964: 64 bytes from 192.168.6.12: icmp_seq=136 ttl=64 time=0.855 ms
1731067838.784805242: 64 bytes from 192.168.6.12: icmp_seq=137 ttl=64 time=6.76 ms
1731067839.279977842: 64 bytes from 192.168.6.12: icmp_seq=138 ttl=64 time=0.974 ms
1731067839.781525570: 64 bytes from 192.168.6.12: icmp_seq=139 ttl=64 time=1.43 ms
1731067840.282104372: 64 bytes from 192.168.6.12: icmp_seq=140 ttl=64 time=1.19 ms
1731067840.782657931: 64 bytes from 192.168.6.12: icmp_seq=141 ttl=64 time=1.37 ms
1731067841.284684736: 64 bytes from 192.168.6.12: icmp_seq=142 ttl=64 time=1.50 ms
1731067841.785137846: 64 bytes from 192.168.6.12: icmp_seq=143 ttl=64 time=1.44 ms
1731067842.286439414: 64 bytes from 192.168.6.12: icmp_seq=144 ttl=64 time=0.887 ms
1731067842.811625725: 64 bytes from 192.168.6.12: icmp_seq=145 ttl=64 time=1.76 ms
1731067843.311939041: 64 bytes from 192.168.6.12: icmp_seq=146 ttl=64 time=0.794 ms
1731067843.835233863: 64 bytes from 192.168.6.12: icmp_seq=147 ttl=64 time=1.35 ms
1731067844.335506581: 64 bytes from 192.168.6.12: icmp_seq=148 ttl=64 time=0.751 ms
1731067844.859545248: 64 bytes from 192.168.6.12: icmp_seq=149 ttl=64 time=1.76 ms
1731067845.360319440: 64 bytes from 192.168.6.12: icmp_seq=150 ttl=64 time=1.01 ms
1731067845.861511696: 64 bytes from 192.168.6.12: icmp_seq=151 ttl=64 time=1.52 ms
1731067846.364840761: 64 bytes from 192.168.6.12: icmp_seq=152 ttl=64 time=3.46 ms
1731067846.863717570: 64 bytes from 192.168.6.12: icmp_seq=153 ttl=64 time=1.10 ms
1731067847.364308983: 64 bytes from 192.168.6.12: icmp_seq=154 ttl=64 time=1.19 ms
1731067847.865015721: 64 bytes from 192.168.6.12: icmp_seq=155 ttl=64 time=1.31 ms
1731067848.365950481: 64 bytes from 192.168.6.12: icmp_seq=156 ttl=64 time=1.03 ms
1731067848.866924497: 64 bytes from 192.168.6.12: icmp_seq=157 ttl=64 time=1.08 ms
1731067849.367706066: 64 bytes from 192.168.6.12: icmp_seq=158 ttl=64 time=0.846 ms
1731067849.868110585: 64 bytes from 192.168.6.12: icmp_seq=159 ttl=64 time=0.970 ms
1731067850.368296647: 64 bytes from 192.168.6.12: icmp_seq=160 ttl=64 time=0.831 ms
1731067850.874260449: 64 bytes from 192.168.6.12: icmp_seq=161 ttl=64 time=1.03 ms
1731067851.377340358: 64 bytes from 192.168.6.12: icmp_seq=162 ttl=64 time=3.07 ms
1731067851.876055022: 64 bytes from 192.168.6.12: icmp_seq=163 ttl=64 time=0.939 ms
1731067852.376692574: 64 bytes from 192.168.6.12: icmp_seq=164 ttl=64 time=0.978 ms
1731067852.876348804: 64 bytes from 192.168.6.12: icmp_seq=165 ttl=64 time=0.857 ms
1731067853.377174870: 64 bytes from 192.168.6.12: icmp_seq=166 ttl=64 time=1.07 ms
1731067853.878150492: 64 bytes from 192.168.6.12: icmp_seq=167 ttl=64 time=1.09 ms
1731067854.378197135: 64 bytes from 192.168.6.12: icmp_seq=168 ttl=64 time=1.09 ms
1731067854.879447907: 64 bytes from 192.168.6.12: icmp_seq=169 ttl=64 time=1.01 ms
1731067855.379737879: 64 bytes from 192.168.6.12: icmp_seq=170 ttl=64 time=0.906 ms
1731067855.898933344: 64 bytes from 192.168.6.12: icmp_seq=171 ttl=64 time=1.33 ms
1731067856.400413245: 64 bytes from 192.168.6.12: icmp_seq=172 ttl=64 time=1.12 ms
1731067856.906752666: 64 bytes from 192.168.6.12: icmp_seq=173 ttl=64 time=7.36 ms
1731067857.401224015: 64 bytes from 192.168.6.12: icmp_seq=174 ttl=64 time=0.823 ms
1731067857.914729750: 64 bytes from 192.168.6.12: icmp_seq=175 ttl=64 time=1.31 ms
1731067858.415563611: 64 bytes from 192.168.6.12: icmp_seq=176 ttl=64 time=0.895 ms
1731067858.916372287: 64 bytes from 192.168.6.12: icmp_seq=177 ttl=64 time=1.31 ms
1731067859.417255172: 64 bytes from 192.168.6.12: icmp_seq=178 ttl=64 time=0.917 ms
1731067859.917637760: 64 bytes from 192.168.6.12: icmp_seq=179 ttl=64 time=0.802 ms
1731067860.443018316: 64 bytes from 192.168.6.12: icmp_seq=180 ttl=64 time=1.25 ms
1731067860.942903990: 64 bytes from 192.168.6.12: icmp_seq=181 ttl=64 time=0.946 ms
1731067861.444036244: 64 bytes from 192.168.6.12: icmp_seq=182 ttl=64 time=1.57 ms
1731067861.944467555: 64 bytes from 192.168.6.12: icmp_seq=183 ttl=64 time=0.906 ms
1731067862.458544859: 64 bytes from 192.168.6.12: icmp_seq=184 ttl=64 time=1.02 ms
1731067862.959028629: 64 bytes from 192.168.6.12: icmp_seq=185 ttl=64 time=0.995 ms
1731067863.460801943: 64 bytes from 192.168.6.12: icmp_seq=186 ttl=64 time=1.93 ms
1731067863.961018147: 64 bytes from 192.168.6.12: icmp_seq=187 ttl=64 time=1.07 ms
1731067864.460963373: 64 bytes from 192.168.6.12: icmp_seq=188 ttl=64 time=0.939 ms
1731067864.963263149: 64 bytes from 192.168.6.12: icmp_seq=189 ttl=64 time=1.88 ms
1731067865.462132168: 64 bytes from 192.168.6.12: icmp_seq=190 ttl=64 time=1.07 ms
1731067865.962266466: 64 bytes from 192.168.6.12: icmp_seq=191 ttl=64 time=1.07 ms
1731067866.463291888: 64 bytes from 192.168.6.12: icmp_seq=192 ttl=64 time=0.763 ms
1731067866.971095972: 64 bytes from 192.168.6.12: icmp_seq=193 ttl=64 time=1.44 ms
1731067867.471556597: 64 bytes from 192.168.6.12: icmp_seq=194 ttl=64 time=0.833 ms
1731067867.995255866: 64 bytes from 192.168.6.12: icmp_seq=195 ttl=64 time=1.50 ms
1731067868.495688361: 64 bytes from 192.168.6.12: icmp_seq=196 ttl=64 time=0.803 ms
1731067869.019116854: 64 bytes from 192.168.6.12: icmp_seq=197 ttl=64 time=1.27 ms
1731067869.519448532: 64 bytes from 192.168.6.12: icmp_seq=198 ttl=64 time=0.880 ms
1731067870.042358180: 64 bytes from 192.168.6.12: icmp_seq=199 ttl=64 time=1.10 ms
1731067870.543249159: 64 bytes from 192.168.6.12: icmp_seq=200 ttl=64 time=0.928 ms
1731067871.044175316: 64 bytes from 192.168.6.12: icmp_seq=201 ttl=64 time=0.956 ms
1731067871.549638619: 64 bytes from 192.168.6.12: icmp_seq=202 ttl=64 time=6.50 ms
1731067872.045442738: 64 bytes from 192.168.6.12: icmp_seq=203 ttl=64 time=1.02 ms
1731067872.546828704: 64 bytes from 192.168.6.12: icmp_seq=204 ttl=64 time=1.23 ms
1731067873.046410975: 64 bytes from 192.168.6.12: icmp_seq=205 ttl=64 time=0.830 ms
1731067873.562471413: 64 bytes from 192.168.6.12: icmp_seq=206 ttl=64 time=1.07 ms
1731067874.063136416: 64 bytes from 192.168.6.12: icmp_seq=207 ttl=64 time=0.662 ms
1731067874.586766515: 64 bytes from 192.168.6.12: icmp_seq=208 ttl=64 time=1.35 ms
1731067875.087809210: 64 bytes from 192.168.6.12: icmp_seq=209 ttl=64 time=0.846 ms
1731067875.611137633: 64 bytes from 192.168.6.12: icmp_seq=210 ttl=64 time=1.28 ms
1731067876.111615100: 64 bytes from 192.168.6.12: icmp_seq=211 ttl=64 time=0.749 ms
1731067876.636034222: 64 bytes from 192.168.6.12: icmp_seq=212 ttl=64 time=1.30 ms
1731067877.135995143: 64 bytes from 192.168.6.12: icmp_seq=213 ttl=64 time=0.926 ms
1731067877.635787135: 64 bytes from 192.168.6.12: icmp_seq=214 ttl=64 time=0.820 ms
1731067878.139492555: 64 bytes from 192.168.6.12: icmp_seq=215 ttl=64 time=1.24 ms
1731067878.639794092: 64 bytes from 192.168.6.12: icmp_seq=216 ttl=64 time=1.00 ms
1731067879.139683031: 64 bytes from 192.168.6.12: icmp_seq=217 ttl=64 time=1.14 ms
1731067879.642119668: 64 bytes from 192.168.6.12: icmp_seq=218 ttl=64 time=2.76 ms
1731067880.140991067: 64 bytes from 192.168.6.12: icmp_seq=219 ttl=64 time=0.780 ms
1731067880.669233757: 64 bytes from 192.168.6.12: icmp_seq=220 ttl=64 time=3.84 ms
1731067881.178216058: 64 bytes from 192.168.6.12: icmp_seq=221 ttl=64 time=10.9 ms
1731067881.670388528: 64 bytes from 192.168.6.12: icmp_seq=222 ttl=64 time=2.99 ms
1731067882.169601280: 64 bytes from 192.168.6.12: icmp_seq=223 ttl=64 time=1.62 ms
1731067882.669856835: 64 bytes from 192.168.6.12: icmp_seq=224 ttl=64 time=0.947 ms
1731067883.171605968: 64 bytes from 192.168.6.12: icmp_seq=225 ttl=64 time=1.85 ms
1731067883.672240661: 64 bytes from 192.168.6.12: icmp_seq=226 ttl=64 time=0.894 ms
1731067884.187675589: 64 bytes from 192.168.6.12: icmp_seq=227 ttl=64 time=1.69 ms
1731067884.688418670: 64 bytes from 192.168.6.12: icmp_seq=228 ttl=64 time=0.950 ms
1731067885.189347918: 64 bytes from 192.168.6.12: icmp_seq=229 ttl=64 time=1.18 ms
1731067885.689378561: 64 bytes from 192.168.6.12: icmp_seq=230 ttl=64 time=0.878 ms
1731067886.203209960: 64 bytes from 192.168.6.12: icmp_seq=231 ttl=64 time=1.66 ms
1731067886.706400600: 64 bytes from 192.168.6.12: icmp_seq=232 ttl=64 time=3.00 ms
1731067887.205262334: 64 bytes from 192.168.6.12: icmp_seq=233 ttl=64 time=1.30 ms
1731067887.706642138: 64 bytes from 192.168.6.12: icmp_seq=234 ttl=64 time=1.22 ms
1731067888.206239218: 64 bytes from 192.168.6.12: icmp_seq=235 ttl=64 time=1.01 ms
1731067888.707210076: 64 bytes from 192.168.6.12: icmp_seq=236 ttl=64 time=1.28 ms
1731067889.207042983: 64 bytes from 192.168.6.12: icmp_seq=237 ttl=64 time=0.868 ms
1731067889.724344837: 64 bytes from 192.168.6.12: icmp_seq=238 ttl=64 time=2.24 ms
1731067890.224070658: 64 bytes from 192.168.6.12: icmp_seq=239 ttl=64 time=0.971 ms
1731067890.723770301: 64 bytes from 192.168.6.12: icmp_seq=240 ttl=64 time=1.10 ms
1731067891.224061671: 64 bytes from 192.168.6.12: icmp_seq=241 ttl=64 time=0.856 ms
1731067891.738633500: 64 bytes from 192.168.6.12: icmp_seq=242 ttl=64 time=1.27 ms
1731067892.239281072: 64 bytes from 192.168.6.12: icmp_seq=243 ttl=64 time=0.932 ms
1731067892.762539451: 64 bytes from 192.168.6.12: icmp_seq=244 ttl=64 time=1.03 ms
1731067893.262980617: 64 bytes from 192.168.6.12: icmp_seq=245 ttl=64 time=0.914 ms
1731067893.770593997: 64 bytes from 192.168.6.12: icmp_seq=246 ttl=64 time=7.98 ms
1731067894.266214058: 64 bytes from 192.168.6.12: icmp_seq=247 ttl=64 time=0.612 ms
1731067894.778548797: 64 bytes from 192.168.6.12: icmp_seq=248 ttl=64 time=1.74 ms
1731067895.279619188: 64 bytes from 192.168.6.12: icmp_seq=249 ttl=64 time=0.834 ms
1731067895.805319786: 64 bytes from 192.168.6.12: icmp_seq=250 ttl=64 time=3.75 ms
1731067896.303382601: 64 bytes from 192.168.6.12: icmp_seq=251 ttl=64 time=0.714 ms
1731067896.826938704: 64 bytes from 192.168.6.12: icmp_seq=252 ttl=64 time=1.34 ms
1731067897.328112263: 64 bytes from 192.168.6.12: icmp_seq=253 ttl=64 time=0.979 ms
1731067897.827812327: 64 bytes from 192.168.6.12: icmp_seq=254 ttl=64 time=0.750 ms
1731067898.332760356: 64 bytes from 192.168.6.12: icmp_seq=255 ttl=64 time=2.00 ms
1731067898.832009106: 64 bytes from 192.168.6.12: icmp_seq=256 ttl=64 time=1.04 ms
1731067899.334948358: 64 bytes from 192.168.6.12: icmp_seq=257 ttl=64 time=3.64 ms
1731067899.836437724: 64 bytes from 192.168.6.12: icmp_seq=258 ttl=64 time=3.91 ms
1731067900.335125060: 64 bytes from 192.168.6.12: icmp_seq=259 ttl=64 time=1.74 ms
1731067900.840254967: 64 bytes from 192.168.6.12: icmp_seq=260 ttl=64 time=5.64 ms
1731067901.337851589: 64 bytes from 192.168.6.12: icmp_seq=261 ttl=64 time=2.09 ms
1731067901.836507161: 64 bytes from 192.168.6.12: icmp_seq=262 ttl=64 time=0.904 ms
1731067902.337519285: 64 bytes from 192.168.6.12: icmp_seq=263 ttl=64 time=1.26 ms
1731067902.877642464: 64 bytes from 192.168.6.12: icmp_seq=264 ttl=64 time=13.0 ms
1731067903.341034308: 64 bytes from 192.168.6.12: icmp_seq=265 ttl=64 time=0.909 ms
1731067903.867145647: 64 bytes from 192.168.6.12: icmp_seq=266 ttl=64 time=1.72 ms
1731067904.367793821: 64 bytes from 192.168.6.12: icmp_seq=267 ttl=64 time=0.864 ms
1731067904.868632609: 64 bytes from 192.168.6.12: icmp_seq=268 ttl=64 time=1.67 ms
1731067905.370201688: 64 bytes from 192.168.6.12: icmp_seq=269 ttl=64 time=1.27 ms
1731067905.870826217: 64 bytes from 192.168.6.12: icmp_seq=270 ttl=64 time=0.866 ms
1731067906.395146340: 64 bytes from 192.168.6.12: icmp_seq=271 ttl=64 time=1.79 ms
1731067906.895886952: 64 bytes from 192.168.6.12: icmp_seq=272 ttl=64 time=0.966 ms
1731067907.396627495: 64 bytes from 192.168.6.12: icmp_seq=273 ttl=64 time=1.17 ms
1731067907.901841458: 64 bytes from 192.168.6.12: icmp_seq=274 ttl=64 time=5.42 ms
1731067908.398094540: 64 bytes from 192.168.6.12: icmp_seq=275 ttl=64 time=0.843 ms
1731067908.926137884: 64 bytes from 192.168.6.12: icmp_seq=276 ttl=64 time=4.54 ms
1731067909.423780151: 64 bytes from 192.168.6.12: icmp_seq=277 ttl=64 time=1.00 ms
1731067909.924489074: 64 bytes from 192.168.6.12: icmp_seq=278 ttl=64 time=0.866 ms
1731067910.424752081: 64 bytes from 192.168.6.12: icmp_seq=279 ttl=64 time=1.10 ms
1731067910.925497052: 64 bytes from 192.168.6.12: icmp_seq=280 ttl=64 time=0.742 ms
1731067911.450407322: 64 bytes from 192.168.6.12: icmp_seq=281 ttl=64 time=1.27 ms
1731067911.951405354: 64 bytes from 192.168.6.12: icmp_seq=282 ttl=64 time=1.02 ms
1731067912.452350111: 64 bytes from 192.168.6.12: icmp_seq=283 ttl=64 time=1.50 ms
1731067912.952952074: 64 bytes from 192.168.6.12: icmp_seq=284 ttl=64 time=0.822 ms
